"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"32",32,"http://www.vertnet.org/resources/norms.html","New Mexico","Grant County",NA,NA,"PRESERVED_SPECIMEN",NA,"284716","Mammalia",359,"near Pinos Altos, New Mexico, Grant County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,2000,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2014-09-27T00:00:00.000+0000",27,NA,NA,NA,"sex=unknown",NA,NA,270,NA,"2014-09-27T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145313779,"Conepatus","Conepatus",2434869,"WGS84","Mammalogy Class 2014","2014-09-27 00:00:00.0","not recorded",NA,"unknown","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;  Lichtenstein 1832","North America, United States, New Mexico, Grant County",NA,NA,NA,"A",NA,NA,"field","Mammalogy Class 2014","http://arctos.database.museum/guid/MSB:Mamm:284716?seid=2670545",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145313779,"Animalia",1,"en","2016-07-28T04:56:08.107+0000","2016-08-04T12:18:29.957+0000","2016-06-24T04:34:22.118+0000",32.86462,NA,NA,"near Pinos Altos","Mammalogy Class 2014",NA,-108.22076,NA,9,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:284716?seid=2670545",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:284716","NK=256870",NA,"Chordata",44,"skull; muscle (ethanol)","<i>Conepatus leuconotus</i> (accepted ID) identified by Mammalogy Class 2014 on 2014-09-27; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Mammalogy Class 2014, Jeff Lehmer, Amanda K. Jones",NA,"http://arctos.database.museum/guid/MSB:Mamm:284716",NA,"http://arctosdb.org/home/data/",NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"2013-2014","Grant County",NA,NA,2014,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"51",51,NA,"Texas","Llano",NA,NA,"PRESERVED_SPECIMEN",NA,"15046","Mammalia",359,"no specific locality, Texas, Llano, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"2012-07-20T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061290047,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061290047,"Animalia",1,NA,"2016-06-28T07:24:31.192+0000","2016-08-04T15:40:26.681+0000","2015-03-03T13:48:30.459+0000",30.69221,NA,NA,"no specific locality",NA,NA,-98.67213,NA,7,NA,NA,"85eea6d5-3759-4351-a088-f017eced563f",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Texas Department of State Health Services",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"20 July 2012","No specific locality",NA,"eastern hog-nosed skunk",2012,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"54",54,NA,"Texas","Howard",NA,NA,"PRESERVED_SPECIMEN",NA,"14596","Mammalia",359,"0.5 mi N jct Hwy 87 and Hwy 33, on Hwy 87, Texas, Howard, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-23T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289564,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289564,"Animalia",1,NA,"2016-06-28T07:24:31.034+0000","2016-08-04T15:40:27.190+0000","2015-03-03T13:48:29.428+0000",32.18524,NA,NA,"0.5 mi N jct Hwy 87 and Hwy 33, on Hwy 87",NA,NA,-101.47414,NA,1,NA,NA,"bf6ca86c-dac5-44df-a57b-8fff9427dd20",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"heart;liver;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Ammerman, Loren K",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"23 January 2011","0.5 mi N Jct. Hwy 87 and Hwy 33 on Hwy 87",NA,"eastern hog-nosed skunk",2011,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"55",55,NA,"Texas","Concho",NA,NA,"PRESERVED_SPECIMEN",NA,"14594","Mammalia",359,"2 mi W Eden, Hwy 87, Texas, Concho, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,18,NA,NA,NA,NA,624.23,NA,NA,NA,"2011-02-18T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289530,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289530,"Animalia",1,NA,"2016-06-28T07:24:31.038+0000","2016-08-04T15:40:26.611+0000","2015-03-03T13:48:29.378+0000",31.2165,NA,NA,"2 mi W Eden, Hwy 87",NA,NA,-99.86555,NA,2,NA,NA,"39a63c65-d72d-4df2-8472-c13feee4f71d",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,"2048 ft","18 February 2011","2 mi W Eden on Hwy 87, 31° 12.990'N, 99° 51.933'W elev. 2048ft",NA,"eastern hog-nosed skunk",2011,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"56",56,NA,"Texas","Val Verde",NA,NA,"PRESERVED_SPECIMEN",NA,"14884","Mammalia",359,"Comstock, Texas, Val Verde, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2011-03-01T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289829,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289829,"Animalia",1,NA,"2016-06-28T07:24:31.138+0000","2016-08-04T15:40:26.241+0000","2015-03-03T13:48:30.059+0000",29.68417,NA,NA,"Comstock",NA,NA,-101.17306,NA,3,NA,NA,"590463c2-a417-4855-af26-8d60ec92643b",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Heinbecker, J",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"March 2011","Comstock Area",NA,"eastern hog-nosed skunk",2011,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"57",57,NA,"Texas","Gillespie",NA,NA,"PRESERVED_SPECIMEN",NA,"14880","Mammalia",359,"1.5 mi S Cherry Spring, US 87, Texas, Gillespie, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,10,NA,NA,NA,NA,554.43,NA,NA,NA,"2011-04-10T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289802,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289802,"Animalia",1,NA,"2016-06-28T07:24:31.161+0000","2016-08-04T15:40:26.544+0000","2015-03-03T13:48:30.005+0000",30.4655,NA,NA,"1.5 mi S Cherry Spring, US 87",NA,NA,-98.9948,NA,4,NA,NA,"5ee67b6f-14c0-4e6e-804c-82d921dd2c8c",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Brashear, Wesley A",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,"1819 ft","10 April 2011","1.5 mi S Cherry Spring on U.S. 87, 30° 27.859'N, 98° 59.615'W, elev. 1819 ft",NA,"eastern hog-nosed skunk",2011,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"66",66,NA,"Texas","Menard",NA,NA,"PRESERVED_SPECIMEN",NA,"14595","Mammalia",359,"Kimble-Menard County line, Hwy 83, Texas, Menard, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-24T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289551,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289551,"Animalia",1,NA,"2016-06-28T07:24:31.050+0000","2016-08-04T15:40:26.353+0000","2015-03-03T13:48:29.418+0000",30.7108,NA,NA,"Kimble-Menard County line, Hwy 83",NA,NA,-99.77116,NA,1,NA,NA,"bdbafa66-7bf4-4698-b84c-a576744af33a",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"heart;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Brown, R",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"24 January 2010","Hwy 83 at Kimble/Menard Co. line",NA,"eastern hog-nosed skunk",2010,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"67",67,NA,"Texas","Tom Green",NA,NA,"PRESERVED_SPECIMEN",NA,"14586","Mammalia",359,"Knickerbocker Ranch, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,9,NA,NA,NA,NA,202.39,NA,NA,NA,"2010-02-09T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289532,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289532,"Animalia",1,NA,"2016-06-28T07:24:31.046+0000","2016-08-04T15:40:26.566+0000","2015-03-03T13:48:29.380+0000",31.25459,NA,NA,"Knickerbocker Ranch",NA,NA,-100.68748,NA,2,NA,NA,"f82470ec-49c7-44ba-8efe-d7f2fe751e5d",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"ear clip;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Brashear, Wesley A",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,"664 m","09 February 2010","Knickerbocker Ranch, 31.25459N, 100.68748°W, elev. 664m",NA,"eastern hog-nosed skunk",2010,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"69",69,NA,"Texas","Brown",NA,NA,"PRESERVED_SPECIMEN",NA,"14590","Mammalia",359,"0.5 mi E Coleman county line, US 67, Texas, Brown, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010-03-05T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289540,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289540,"Animalia",1,NA,"2016-06-28T07:24:31.056+0000","2016-08-04T15:40:27.696+0000","2015-03-03T13:48:29.389+0000",31.7266,NA,NA,"0.5 mi E Coleman county line, US 67",NA,NA,-99.19117,NA,3,NA,NA,"740855cc-b85f-4575-a202-a45c887d6915",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"05 March 2010","0.5 mi E Coleman Co line on Hwy 67",NA,"eastern hog-nosed skunk",2010,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"76",76,NA,"Texas","Sterling",NA,NA,"PRESERVED_SPECIMEN",NA,"14387","Mammalia",359,"11.4 mi Glasscock county line, US 87, Texas, Sterling, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,"2010-10-25T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289369,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289369,"Animalia",1,NA,"2016-06-28T07:24:30.970+0000","2016-08-04T15:40:27.024+0000","2015-03-03T13:48:29.085+0000",31.87892,NA,NA,"11.4 mi Glasscock county line, US 87",NA,NA,-101.09422,NA,10,NA,NA,"eb9a5a43-413b-4134-8495-0325d1c8d75a",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"heart;liver;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Brown, R",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"25 October 2010","11.4 mi Glasscock county line, TX 158, 31.857389°N, 101.091885°W",NA,"eastern hog-nosed skunk",2010,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"78",78,NA,"Texas","Runnels",NA,NA,"PRESERVED_SPECIMEN",NA,"14570","Mammalia",359,"no specific locality, Texas, Runnels, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,"2010-10-10T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289515,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289515,"Animalia",1,NA,"2016-06-28T07:24:31.041+0000","2016-08-04T15:40:27.009+0000","2015-03-03T13:48:29.350+0000",31.83081,NA,NA,"no specific locality",NA,NA,-99.97657,NA,10,NA,NA,"6acdacc7-1622-430a-a3a4-ce283a362b4f",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"10 October 2010",NA,NA,"eastern hog-nosed skunk",2010,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"80",80,NA,"Texas","Mills",NA,NA,"PRESERVED_SPECIMEN",NA,"14526","Mammalia",359,"no specific locality, Texas, Mills, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010-12-08T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289506,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289506,"Animalia",1,NA,"2016-06-28T07:24:31.025+0000","2016-08-04T15:40:26.666+0000","2015-03-03T13:48:29.342+0000",31.44847,NA,NA,"no specific locality",NA,NA,-98.62723,NA,12,NA,NA,"7018ae47-db4a-4eed-8b65-2700c2f9654f",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Texas Department of State Health Services",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"08 December 2010",NA,NA,"eastern hog-nosed skunk",2010,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"83",83,NA,"Texas","McCulloch",NA,NA,"PRESERVED_SPECIMEN",NA,"13567","Mammalia",359,"6.5 mi E Brady, Texas, McCulloch, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,10,NA,NA,NA,NA,163.68,NA,NA,NA,"2009-01-10T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061288518,"Conepatus","Conepatus",2434869,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061288518,"Animalia",1,NA,"2016-06-28T07:24:30.627+0000","2016-08-04T15:40:26.611+0000","2015-03-03T13:48:27.179+0000",31.07116,NA,NA,"6.5 mi E Brady",NA,NA,-99.27415,NA,1,NA,NA,"57ccec29-2988-433d-86c0-e3fc57c9465e",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"heart;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,"MALE","Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,NA,NA,NA,NA,"537 m","10 January 2009","6.5 mi E Brady, N 31.07116, W 99.27415, 537 m elev.",NA,"eastern hog-nosed skunk",2009,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
"89",89,"http://www.vertnet.org/resources/norms.html","New Mexico","Valencia County",NA,NA,"PRESERVED_SPECIMEN",NA,"275307","Mammalia",359,"Manzano Mountains, Monte Largo Canyon, approximately 2000 m ENE from US Forest Service trailhead and 150 m N of Upper Monte Large Springs., New Mexico, Valencia County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2014-09-22T00:00:00.000+0000",9,NA,NA,NA,"sex=unknown",NA,NA,282,NA,"2009-10-09T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145303368,"Conepatus","Conepatus",2434869,"WGS84","Jonathan L. Dunnum","2014-11-19 00:00:00.0","not recorded",NA,"Garmin GPS map 60CSx","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;  Lichtenstein 1832","North America, United States, New Mexico, Valencia County",NA,NA,NA,"A",NA,NA,"student","Jonathan L. Dunnum","http://arctos.database.museum/guid/MSB:Mamm:275307?seid=2522692",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145303368,"Animalia",1,"en","2016-07-28T04:56:05.005+0000","2016-08-04T12:18:38.144+0000","2016-06-24T04:34:16.542+0000",34.60542,NA,NA,"Manzano Mountains, Monte Largo Canyon, approximately 2000 m ENE from US Forest Service trailhead and 150 m N of Upper Monte Large Springs.","Jonathan L. Dunnum",NA,-106.47684,NA,10,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:275307?seid=2522692","found dead on ground in area with oak and alligator junipers.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:275307",NA,NA,"Chordata",44,"skull; tissue (dry)","<i>Conepatus leuconotus</i> (accepted ID) identified by Jonathan L. Dunnum on 2014-09-22; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): J. Tomasz Giermakowski, Ian M. Latella",NA,"http://arctos.database.museum/guid/MSB:Mamm:275307",NA,"http://arctosdb.org/home/data/",NA,NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,NA,2434878,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"9 October 2009","Manzano Mountains, Monte Largo Canyon, approximately 2000 m ENE from US Forest Service trailhead and 150 m N of Upper Monte Large Springs.",NA,NA,2009,"2016-08-10",41632,"Conepatus leuconotus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",143.401103448,227.280871834,TRUE
