"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceProtocol","georeferenceRemarks","georeferenceVerificationStatus","higherClassification","higherGeography","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identifiedBy","identifier","individualCount","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate"
"1",NA,NA,NA,NA,"HUMAN_OBSERVATION","3801431","Mammalia",359,"Australia","Observations",NA,NA,NA,1953,"Australia",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-08-04T08:53:05.000+0000",14,NA,NA,NA,NA,NA,NA,NA,"2016-07-14T17:56:00.000+0000",NA,NA,"07:56:00Z","Macropodidae",9372,"Australia","1291164376","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/3801431",NA,"7323816",NA,"3801431",NA,"iNaturalist",NA,"AU",1291164376,"Animalia",1,NA,"2016-08-19T05:13:40.786+0000","2016-08-19T05:40:17.394+0000","2016-08-19T05:13:41.330+0000",-11.30497,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,132.21854,"2016-08-04T16:35:53.000+0000",7,NA,"http://www.inaturalist.org/observations/3801431","OLYMPUS DIGITAL CAMERA  A small group of Antilopine kangaroos [or antilopine wallaroos as they are sometimes called] were seen feeding on new growth in a recently burnt area in Garig Gunak Barlu National Park.  First photo shows a female; second photo shows a female with a male behind her' third photo is a closeup of a male.",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jenny Donald",NA,"http://www.inaturalist.org/observations/3801431","© Jenny Donald some rights reserved","Jenny Donald","Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,"42880",5219988,"SPECIES",NA,NA,NA,NA,"2016/07/14 5:56 PM AEST","Cobourg NT 0822, Australia",NA,2016,2016-08-25
"2",NA,"Victoria",NA,NA,"PRESERVED_SPECIMEN","M.47375.002","Mammalia",359,"Victoria, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210425",NA,NA,"Macropodidae",9372,"Australia","1101230298","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"f4a3c090-e61a-419b-82da-592460a0b51e",NA,"AM",NA,"AU",1101230298,"Animalia",1,NA,"2016-08-19T08:07:06.182+0000","2016-08-04T14:24:22.182+0000","2016-03-12T00:31:43.058+0000",-38.52693,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Victoria, Phillip Island, Back Beach Pyramid Rock (38° 31' 37"" S, 145° 13' 17"" E) /05/2014 - /05/2014, Sutherland, DUNCAN(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Road kill, Accession"";",145.22138,NA,5,NA,"f4a3c090-e61a-419b-82da-592460a0b51e",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sutherland, DUNCAN",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2014,2016-08-25
"3",NA,"Victoria",NA,NA,"PRESERVED_SPECIMEN","M.47375.001","Mammalia",359,"Victoria, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210425",NA,NA,"Macropodidae",9372,"Australia","1101230296","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab7aa119-e059-42ac-bbaa-5ffda5864307",NA,"AM",NA,"AU",1101230296,"Animalia",1,NA,"2016-08-19T08:07:06.180+0000","2016-08-04T14:24:22.183+0000","2016-03-12T00:31:43.052+0000",-38.52693,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Victoria, Phillip Island, Back Beach Pyramid Rock (38° 31' 37"" S, 145° 13' 17"" E) /05/2014 - /05/2014, Sutherland, DUNCAN(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Road kill, Accession"";",145.22138,NA,5,NA,"ab7aa119-e059-42ac-bbaa-5ffda5864307",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sutherland, DUNCAN",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2014,2016-08-25
"4",NA,NA,NA,NA,"UNKNOWN","Atlas-2039225","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,NA,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2012-03-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","736216647","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b553d93d-04a4-44ce-bfee-9adadc9f60ad",NA,"Fauna Atlas N.T.",NA,"AU",736216647,"Animalia",1,NA,"2014-06-18T10:37:37.854+0000","2016-08-03T13:49:47.290+0000","2014-05-29T14:59:54.448+0000",-14.15593,NA,NA,NA,NA,131.96577,NA,3,NA,NA,"3",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"5",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN","M.47321.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,"2012-06-29T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210412",NA,NA,"Macropodidae",9372,"Australia","1101230186","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40e3f788-f536-4d2e-8067-f6e55e720775",NA,"AM",NA,"AU",1101230186,"Animalia",1,NA,"2016-08-19T08:07:06.159+0000","2016-08-04T14:22:23.446+0000","2016-03-12T00:31:42.938+0000",-15.9711,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Near the junction of Lake Argyle Road and Victoria Highway (15° 58' 16"" S, 128° 57' 00"" E) 29/06/2012 - 29/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Road kill, Accession"";",128.95,NA,6,NA,"40e3f788-f536-4d2e-8067-f6e55e720775",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"6",NA,"Western Australia","Kununurra District",NA,"PRESERVED_SPECIMEN","M.47377.001","Mammalia",359,"Western Australia, Kununurra District, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"2012-06-12T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210461",NA,NA,"Macropodidae",9372,"Australia","1101230302","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"f4777d71-64d0-44fb-9ee5-2ce7393f0287",NA,"AM",NA,"AU",1101230302,"Animalia",1,NA,"2016-08-19T08:07:06.184+0000","2016-08-04T14:22:22.672+0000","2016-03-12T00:31:43.051+0000",-15.766,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Kununurra District (15° 46' 00"" S, 128° 44' 00"" E) 12/06/2012 - 12/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Accession"";",128.733,NA,6,NA,"f4777d71-64d0-44fb-9ee5-2ce7393f0287",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"7",NA,"Western Australia","Kununurra District",NA,"PRESERVED_SPECIMEN","M.47320.002","Mammalia",359,"Western Australia, Kununurra District, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,"2012-06-18T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210410",NA,NA,"Macropodidae",9372,"Australia","1101230182","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"d2ff3141-70da-485b-8985-7fcc8c5117cf",NA,"AM",NA,"AU",1101230182,"Animalia",1,NA,"2016-08-19T08:07:06.161+0000","2016-08-04T14:22:23.307+0000","2016-03-12T00:31:42.962+0000",-15.766,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Kununurra District (15° 46' 00"" S, 128° 44' 00"" E) 18/06/2012 - 18/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Accession"";",128.733,NA,6,NA,"d2ff3141-70da-485b-8985-7fcc8c5117cf",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"8",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN","M.47321.002","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,"2012-06-29T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210412",NA,NA,"Macropodidae",9372,"Australia","1101230188","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15e33e7c-942f-4d84-ba32-d08043c42dc3",NA,"AM",NA,"AU",1101230188,"Animalia",1,NA,"2016-08-19T08:07:06.161+0000","2016-08-04T14:22:23.407+0000","2016-03-12T00:31:42.950+0000",-15.9711,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Near the junction of Lake Argyle Road and Victoria Highway (15° 58' 16"" S, 128° 57' 00"" E) 29/06/2012 - 29/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Road kill, Accession"";",128.95,NA,6,NA,"15e33e7c-942f-4d84-ba32-d08043c42dc3",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"9",NA,"Western Australia","Kununurra District",NA,"PRESERVED_SPECIMEN","M.47319.002","Mammalia",359,"Western Australia, Kununurra District, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,"2012-06-18T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210410",NA,NA,"Macropodidae",9372,"Australia","1101230176","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7cf63f2e-de86-4709-a1c6-aa29546a521d",NA,"AM",NA,"AU",1101230176,"Animalia",1,NA,"2016-08-19T08:07:06.156+0000","2016-08-04T14:22:22.705+0000","2016-03-12T00:31:42.986+0000",-15.766,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Kununurra District (15° 46' 00"" S, 128° 44' 00"" E) 18/06/2012 - 18/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Accession"";",128.733,NA,6,NA,"7cf63f2e-de86-4709-a1c6-aa29546a521d",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"10",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN","M.47321.003","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,"2012-06-29T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210412",NA,NA,"Macropodidae",9372,"Australia","1101230190","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"403a4c97-6bae-464b-a8cd-a8e04cceafef",NA,"AM",NA,"AU",1101230190,"Animalia",1,NA,"2016-08-19T08:07:06.166+0000","2016-08-04T14:22:23.402+0000","2016-03-12T00:31:42.957+0000",-15.9711,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Near the junction of Lake Argyle Road and Victoria Highway (15° 58' 16"" S, 128° 57' 00"" E) 29/06/2012 - 29/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Road kill, Accession"";",128.95,NA,6,NA,"403a4c97-6bae-464b-a8cd-a8e04cceafef",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"11",NA,"Western Australia","Kununurra District",NA,"PRESERVED_SPECIMEN","M.47319.003","Mammalia",359,"Western Australia, Kununurra District, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,"2012-06-18T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210410",NA,NA,"Macropodidae",9372,"Australia","1101230178","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9e8e71bc-8b50-4032-96c1-dbc273da1fc4",NA,"AM",NA,"AU",1101230178,"Animalia",1,NA,"2016-08-19T08:07:06.164+0000","2016-08-04T14:22:23.014+0000","2016-03-12T00:31:42.935+0000",-15.766,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Kununurra District (15° 46' 00"" S, 128° 44' 00"" E) 18/06/2012 - 18/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Accession"";",128.733,NA,6,NA,"9e8e71bc-8b50-4032-96c1-dbc273da1fc4",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"12",NA,"Western Australia","Kununurra District",NA,"PRESERVED_SPECIMEN","M.47320.003","Mammalia",359,"Western Australia, Kununurra District, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,"2012-06-18T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210410",NA,NA,"Macropodidae",9372,"Australia","1101230184","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8444d1a-e182-49fa-be74-deddb42b4f09",NA,"AM",NA,"AU",1101230184,"Animalia",1,NA,"2016-08-19T08:07:06.158+0000","2016-08-04T14:22:22.579+0000","2016-03-12T00:31:42.983+0000",-15.766,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Kununurra District (15° 46' 00"" S, 128° 44' 00"" E) 18/06/2012 - 18/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Accession"";",128.733,NA,6,NA,"c8444d1a-e182-49fa-be74-deddb42b4f09",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"13",NA,"Western Australia","Kununurra District",NA,"PRESERVED_SPECIMEN","M.47378.001","Mammalia",359,"Western Australia, Kununurra District, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,"2012-06-11T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210463",NA,NA,"Macropodidae",9372,"Australia","1101230304","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ce1fcc12-118c-4fbe-91d2-91e851c62a55",NA,"AM",NA,"AU",1101230304,"Animalia",1,NA,"2016-08-19T08:07:06.185+0000","2016-08-04T14:22:22.684+0000","2016-03-12T00:31:43.028+0000",-15.766,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Kununurra District (15° 46' 00"" S, 128° 44' 00"" E) 11/06/2012 - 11/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Accession"";",128.733,NA,6,NA,"ce1fcc12-118c-4fbe-91d2-91e851c62a55",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25
"14",NA,NA,NA,NA,"HUMAN_OBSERVATION","178159","Mammalia",359,"Australia","Observations",NA,NA,NA,730,"Australia",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2013-01-11T21:36:06.000+0000",17,NA,NA,NA,NA,NA,NA,NA,"2012-11-17T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","899938839","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/178159",NA,"276149",NA,"178159",NA,"iNaturalist",NA,"AU",899938839,"Animalia",1,NA,"2016-08-19T04:58:49.942+0000","2016-08-19T05:06:40.361+0000","2016-08-19T04:58:52.734+0000",-18.22151,"http://creativecommons.org/licenses/by/4.0/",NA,NA,NA,144.5597,"2014-10-19T22:12:52.000+0000",11,NA,"http://www.inaturalist.org/observations/178159","Near the road.",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","sea-kangaroo",NA,"http://www.inaturalist.org/observations/178159","© sea-kangaroo some rights reserved","sea-kangaroo","Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,"42880",5219988,"SPECIES",NA,NA,NA,NA,"2012-11-17","Undara, Queensland, Australia",NA,2012,2016-08-25
"15",NA,NA,NA,NA,"UNKNOWN","Atlas-2029023","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,50,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,"2010-08-20T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","736206788","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"579be265-ce9b-4b1a-9edd-1279b227013b",NA,"Fauna Atlas N.T.",NA,"AU",736206788,"Animalia",1,NA,"2014-06-18T10:37:28.096+0000","2016-08-03T13:49:35.814+0000","2014-05-29T14:59:32.584+0000",-13.11814,NA,NA,NA,NA,132.57337,NA,8,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2010,2016-08-25
"16",NA,NA,NA,NA,"UNKNOWN","Atlas-2030373","Mammalia",359,"McCarthy Hill, Australia","Fauna Atlas N.T.",NA,NA,NA,NA,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"2010-08-04T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","736208138","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3dad36d-4665-4dac-bbb8-e3644315656d",NA,"Fauna Atlas N.T.",NA,"AU",736208138,"Animalia",1,NA,"2014-06-18T10:37:29.623+0000","2016-08-03T13:49:44.472+0000","2014-05-29T14:59:36.472+0000",-13.73564,NA,NA,"McCarthy Hill",NA,132.05861,NA,8,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2010,2016-08-25
"17",NA,NA,NA,NA,"UNKNOWN","Survey-193162","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,84,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,"2010-10-21T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","692492398","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fd84b8c7-5dde-42ec-9e74-5068abca3778",NA,"Fauna Atlas N.T.",NA,"AU",692492398,"Animalia",1,NA,"2014-06-18T10:44:53.678+0000","2016-08-03T13:49:25.926+0000","2014-05-29T14:15:08.784+0000",-12.5826,NA,NA,NA,NA,130.9792,NA,10,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2010,2016-08-25
"18",NA,NA,NA,NA,"UNKNOWN","Atlas-2029123","Mammalia",359,"Australia","Fauna Atlas N.T.",NA,NA,NA,50,"Australia",NA,"358fbd61-739f-4102-afc9-9d468f571e4d",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,"2010-11-29T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","736206888","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6eb022e-fa9b-42b4-b902-0e1ec463bcb7",NA,"Fauna Atlas N.T.",NA,"AU",736206888,"Animalia",1,NA,"2014-06-18T10:37:28.372+0000","2016-08-03T13:49:30.321+0000","2014-05-29T14:59:32.886+0000",-12.7213,NA,NA,NA,NA,132.1522,NA,11,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","24f26321-3960-4a16-a8e9-b3dfb401a9a4",NA,NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2010,2016-08-25
