"","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEpochOrLowestSeries","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","verbatimCoordinateSystem","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"41",NA,"New South Wales",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.47714.001","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,1000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1216242",NA,NA,"Macropodidae",9372,NA,"Australia","1101230707","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fa6f15f7-c23a-44a7-9cd1-6c974ac26b66",NA,NA,NA,"AM",NA,NA,NA,"AU",1101230707,"Animalia",1,NA,"2016-08-19T08:07:06.275+0000","2016-08-04T14:23:31.063+0000","2016-03-12T00:31:43.172+0000",-32.72781,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Nelson Bay Golf Club (32° 43' 40"" S, 152° 08' 47"" E) 16/10/2014 - 16/10/2014, Herbert, Dr. Cathy - The University of New South Wales - School of BEES(Collector and presenter), Hit by a golf ball, Accession"";",152.14644,NA,10,NA,NA,"fa6f15f7-c23a-44a7-9cd1-6c974ac26b66",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae",NA,NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2014,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"22308",NA,"Victoria",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"C37146","Mammalia",359,"Grampians National Park, McKenzie River, Zumsteins, Victoria, Australia","Mammalogy",NA,NA,NA,50,"Australia",NA,"39905320-6c8a-11de-8226-b8a03c50a862",NA,"2012-11-23T00:00:00.000+0000",23,NA,NA,NA,NA,NA,240,NA,NA,NA,"2012-11-23T00:00:00.000+0000","GRB 480",NA,"23:00:00;23:59:00","Macropodidae",9372,NA,"Australia","1272793693","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kevin C. Rowe - Museum Victoria","cc34ca8f-3a31-4608-912f-29029501391a",1,NA,NA,"NMV",NA,NA,NA,"AU",1272793693,"Animalia",1,NA,"2016-08-19T07:34:10.165+0000","2016-08-03T15:25:22.790+0000","2016-06-21T15:09:57.142+0000",-37.0928,NA,NA,"Grampians National Park, McKenzie River, Zumsteins",NA,NA,NA,142.385,NA,11,NA,NA,"cc34ca8f-3a31-4608-912f-29029501391a",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4cff2aca-5ce5-4028-88e6-d79b6449173a","Dr Kevin C. Rowe - Museum Victoria; Dr Karen Roberts - Museum Victoria; Val Stajsic - Royal Botanic Gardens and Herbarium, Melbourne; Blair Patullo - Museum Victoria - Melbourne Museum",NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2012,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",2.59778573049,0.365230613916,TRUE
"22742",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"SEMMI0004186","Mammalia",359,"Australia",NA,NA,NA,NA,20,"Australia",NA,"0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-23T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1070397053","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e76ebc37-061f-4400-adec-cb5f1ecd5c79",1,NA,NA,NA,NA,NA,NA,"AU",1070397053,"Animalia",1,NA,"2016-08-19T04:38:49.710+0000","2016-08-03T10:44:22.280+0000","2015-04-30T12:43:37.381+0000",-29.5111900255212,NA,NA,NA,NA,NA,NA,152.94722,NA,2,NA,NA,"e76ebc37-061f-4400-adec-cb5f1ecd5c79","Scat",NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2009,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"22743",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"SEMMI0004272","Mammalia",359,"Australia",NA,NA,NA,NA,50,"Australia",NA,"0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-24T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1070397116","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0c4ce668-6209-42c1-ae55-bbdb31684992",2,NA,NA,NA,NA,NA,NA,"AU",1070397116,"Animalia",1,NA,"2016-08-19T04:38:49.731+0000","2016-08-03T10:44:18.680+0000","2015-04-30T12:43:37.434+0000",-29.4896700254859,NA,NA,NA,NA,NA,NA,152.95133,NA,2,NA,NA,"0c4ce668-6209-42c1-ae55-bbdb31684992","Seen",NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2009,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"23233",NA,"New South Wales",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.41164","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-04-02T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1125251",NA,NA,"Macropodidae",9372,NA,"Australia","1101222750","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5b80ca21-9544-42ac-8aa7-4f17b015374a",NA,NA,NA,"AM",NA,NA,NA,"AU",1101222750,"Animalia",1,NA,"2016-08-19T08:07:04.896+0000","2016-08-04T14:23:03.342+0000","2015-07-17T07:04:21.271+0000",-28.86305,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Australia, New South Wales, Alstonville, South of Duck Creek Mountain Road (28° 51' 47"" S, 153° 28' 17"" E) 02/04/2007 - 02/04/2007, Byron-Jackson, Leoni(Collector), NSW Department of Environment and Climate Change - National Parks and Wildlife""; ecatalogue.SqsCityTown: ""Alstonville"";",153.47132,NA,4,NA,NA,"5b80ca21-9544-42ac-8aa7-4f17b015374a",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Byron-Jackson, Leoni",NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2007,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"23311",NA,"New South Wales",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45690.001","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-12-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1175885",NA,NA,"Macropodidae",9372,NA,"Australia","1101227685","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6b5f6ae4-1d87-4dc9-ae2a-178d5d6e3d64",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227685,"Animalia",1,NA,"2016-08-19T08:07:05.743+0000","2016-08-04T14:23:35.088+0000","2015-07-17T07:04:46.733+0000",-33.23405,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, 55km NW of Mount Victoria, Castlereagh Highway (33° 14' 03"" S, 150° 01' 38"" E) /12/2007 - /12/2007, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum -"";",150.0271,NA,12,NA,NA,"6b5f6ae4-1d87-4dc9-ae2a-178d5d6e3d64",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2007,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"23321",NA,"Tasmania",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"A2536","Mammalia",359,"Darlington, Maria Island, Tasmania, Australia","Mammalogy",NA,NA,NA,50,"Australia",NA,"4ffe66a0-6c8b-11de-8226-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-01-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","500734666","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8429ad6-54b3-429d-ac51-af788d81cd24",NA,NA,NA,"TMAG",NA,NA,NA,"AU",500734666,"Animalia",1,NA,"2016-08-19T07:18:29.352+0000","2016-08-03T23:08:11.809+0000","2015-05-13T22:01:33.631+0000",-41.1617000398026,NA,NA,"Darlington, Maria Island",NA,NA,NA,146.61,NA,NA,NA,NA,"c8429ad6-54b3-429d-ac51-af788d81cd24",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","8a226609-56b9-4b87-a0a2-767c38edd572","Belinda Bauer, Brian Looker",NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Bennetts wallaby",NA,2007,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,"Tasmania","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",21.9459843637,5.53653406147,TRUE
"23326",NA,"Tasmania",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"A2535","Mammalia",359,"Darlington, Maria Island, Tasmania, Australia","Mammalogy",NA,NA,NA,50,"Australia",NA,"4ffe66a0-6c8b-11de-8226-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-01-01T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","500734664","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36be1117-4177-4912-9259-262f7180ce20",NA,NA,NA,"TMAG",NA,NA,NA,"AU",500734664,"Animalia",1,NA,"2016-08-19T07:18:29.348+0000","2016-08-03T23:08:13.454+0000","2015-05-13T22:01:33.662+0000",-42.3017000403671,NA,NA,"Darlington, Maria Island",NA,NA,NA,146.4583,NA,NA,NA,NA,"36be1117-4177-4912-9259-262f7180ce20",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","8a226609-56b9-4b87-a0a2-767c38edd572","Belinda Bauer, Brian Looker",NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Bennetts wallaby",NA,2007,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,"Tasmania","ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",21.9459843637,5.53653406147,TRUE
"23574",NA,"New South Wales","not applicable",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M29987","Mammalia",359,"Blue Mountains, New South Wales, not applicable, Australia, OCEANIA","Mammals",NA,"OCEANIA",1e-04,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-09-07T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","332041164","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d94c83cc-0a96-46a7-87ea-2ee9138c340f",NA,NA,NA,"ANWC",NA,NA,NA,"AU",332041164,"Animalia",1,NA,"2016-08-19T07:26:26.226+0000","2016-08-03T11:46:29.985+0000","2015-04-30T07:14:43.608+0000",-33.5833,NA,NA,"Blue Mountains",NA,NA,"not recorded, co ordinates for Katoomba",150.3167,NA,9,NA,NA,"d94c83cc-0a96-46a7-87ea-2ee9138c340f",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2006,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"23636",NA,"New South Wales","not applicable",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M29988","Mammalia",359,"Orange, New South Wales, not applicable, Australia, OCEANIA","Mammals",NA,"OCEANIA",1e-04,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-11-16T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","332041165","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b4a02c02-a73a-4075-beda-f78164b83c1e",NA,NA,NA,"ANWC",NA,NA,NA,"AU",332041165,"Animalia",1,NA,"2016-08-19T07:26:26.229+0000","2016-08-03T11:46:29.655+0000","2015-04-30T07:14:43.580+0000",-33.2833,NA,NA,"Orange",NA,NA,NA,149.1,NA,11,NA,NA,"b4a02c02-a73a-4075-beda-f78164b83c1e",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2006,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"25819",NA,"New South Wales","not applicable",NA,NA,NA,"MATERIAL_SAMPLE",NA,"G35013","Mammalia",359,"BUTMAROO ROAD, BUNGENDORE, New South Wales, not applicable, Australia, OCEANIA","GeneticSamples",NA,"OCEANIA",0.01667,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-04-22T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1257466136","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"220a7c7f-f0fd-4c19-9537-3aa300346239",NA,NA,NA,"ANWC",NA,NA,NA,"AU",1257466136,"Animalia",1,NA,"2016-08-19T07:26:13.252+0000","2016-08-03T11:46:32.121+0000","2016-06-21T13:46:50.254+0000",-35.25,NA,NA,"BUTMAROO ROAD, BUNGENDORE",NA,NA,"CO ODINATES FOR BUNGENDORE",149.45,NA,4,NA,NA,"220a7c7f-f0fd-4c19-9537-3aa300346239",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked Wallaby",NA,2002,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"26823",NA,"Queensland",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM12382","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.0045,500,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-01-20T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066621215","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c12b4c07-09ff-4141-a8e1-f6450b442e60",NA,NA,NA,"QM",NA,NA,NA,"AU",1066621215,"Animalia",1,NA,"2015-10-19T05:51:14.723+0000","2016-08-04T10:56:36.065+0000","2015-04-30T09:48:35.131+0000",-23.78333,NA,NA,"-",NA,NA,NA,151.13333,NA,1,NA,NA,"c12b4c07-09ff-4141-a8e1-f6450b442e60",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked wallaby",NA,1998,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"26955",NA,"Queensland",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"JM12579","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.009,1000,"Australia",NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1998-05-27T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","1066621465","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f8efd7e-7619-4d1c-a620-475cf91e38a2",NA,NA,NA,"QM",NA,NA,NA,"AU",1066621465,"Animalia",1,NA,"2015-10-19T05:51:14.754+0000","2016-08-04T10:56:50.418+0000","2015-04-30T09:48:35.285+0000",-27.3318699286227,NA,NA,"-",NA,NA,NA,152.967461948509,NA,5,NA,NA,"1f8efd7e-7619-4d1c-a620-475cf91e38a2",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Red-necked wallaby",NA,1998,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",77.6090097998,51.9824522749,TRUE
"27114",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M18964","Mammalia",359,"Kingston SE, Saudi Arabia","Mammalogy",NA,NA,1e-05,NA,"Saudi Arabia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997-01-17T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Saudi Arabia","500863984","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kemper",NA,NA,NA,NA,"SAMA",NA,NA,NA,"SA",500863984,"Animalia",1,NA,"2013-09-07T07:22:24.000+0000","2016-08-04T15:41:11.954+0000",NA,-36.75972,NA,NA,"Kingston SE",NA,NA,NA,139.97166,NA,1,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Armstrong D.",NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,1997,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",18.4480694118,3.26217133431,TRUE
"27150",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"SUM16353-135","Mammalia",359,"477 (HA), Australia","SU",NA,NA,NA,NA,"Australia",NA,"40c0f670-ee87-4576-be9d-2725e0b47035",NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997-02-26T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,"Australia","501860877","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA Fauna",NA,NA,NA,"AU",501860877,"Animalia",1,NA,"2013-09-07T07:24:52.000+0000","2016-08-03T15:43:13.803+0000",NA,-37.01242,NA,NA,"477 (HA)",NA,NA,NA,139.95343,NA,2,NA,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","526a57bd-769c-4cc9-94ae-1eb9bdfa5d6c","ARMSTRONG D.M. David;COPLEY P.B. Peter;STEWART H. Hafiz;KAJAR L.A. Lynne",NA,NA,NA,NA,NA,"Macropus rufogriseus (Desmarest, 1817)",NA,"Macropus rufogriseus",2440196,"rufogriseus",NA,NA,2440196,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,1997,2016-08-25,40566,"Macropus rufogriseus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",18.4480694118,3.26217133431,TRUE
