"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","created","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","lithostratigraphicTerms","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"24",24,"http://vertnet.org/resources/norms.html","Colorado","Boulder County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"16429","Mammalia",359,"Boulder, 2039 Linden Drive, Colorado, Boulder County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,89,"United States",NA,NA,NA,"5f3463d2-51b6-4a8a-b252-9bab4388934e",NA,"2016-02-14T00:00:00.000+0000",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1938,14,45,NA,"2016-02-14T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1273762928,"Mephitis","Mephitis",5219379,"WGS84",NA,"Jeffrey T. Stephenson","2016-04-20 00:00:00.0","Google automated georeference",NA,"Google Earth and confirmed via pictomety ortho","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, Colorado, Boulder County",NA,NA,NA,NA,"A",NA,NA,"field","Donna Nespoli","http://arctos.database.museum/guid/DMNS:Mamm:16429?seid=3149590",1,NA,NA,"DMNS","urn:lsid:biocol.org:col:35013",NA,NA,"US",1273762928,"Animalia",1,"en","2016-07-28T04:44:43.805+0000","2016-08-04T00:09:33.235+0000","2016-06-24T04:06:48.679+0000",40.05181,NA,NA,NA,NA,NA,NA,NA,NA,"Boulder, 2039 Linden Drive","Jeffrey T. Stephenson",NA,NA,-105.31173,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/DMNS:Mamm:16429?seid=3149590",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/DMNS:Mamm:16429",NA,"DZTM: Denver Zoology Tissue Mammal=5552",NA,NA,"Chordata",44,"whole organism (frozen)","<i>Mephitis mephitis</i> (accepted ID) identified by Donna Nespoli on 2016-02-14; method: field","DWC_ARCHIVE","US","a2ef6dd1-8886-48c9-8025-c62bac973cc7","Collector(s): Donna Nespoli",NA,"http://arctos.database.museum/guid/DMNS:Mamm:16429",NA,"http://creativecommons.org/licenses/by-nc/3.0",NA,"salvage","Mephitis mephitis (Schreber, 1776)",NA,NA,NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"2/14/2016","2039 Linden Dr, Boulder",NA,NA,NA,2016,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"45",45,"http://vertnet.org/resources/norms.html","Colorado","Adams County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"16421","Mammalia",359,"Denver, West 54th Avenue, between Rosemary Lane and Beach Court, Colorado, Adams County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,4,"United States",NA,NA,NA,"5f3463d2-51b6-4a8a-b252-9bab4388934e",NA,"2016-03-14T00:00:00.000+0000",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625.5,0.5,74,NA,"2016-03-14T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1273762939,"Mephitis","Mephitis",5219379,"WGS84",NA,"Jeffrey T. Stephenson","2016-03-15 00:00:00.0","Google automated georeference",NA,"Google Earth and confirmed via pictomety ortho","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, Colorado, Adams County",NA,NA,NA,NA,"A",NA,NA,"field","Andrew Charles Doll","http://arctos.database.museum/guid/DMNS:Mamm:16421?seid=3149585",1,NA,NA,"DMNS","urn:lsid:biocol.org:col:35013",NA,NA,"US",1273762939,"Animalia",1,"en","2016-07-28T04:44:43.975+0000","2016-08-04T00:09:33.022+0000","2016-06-24T04:06:48.753+0000",39.79469,NA,NA,NA,NA,NA,NA,NA,NA,"Denver, West 54th Avenue, between Rosemary Lane and Beach Court","Jeffrey T. Stephenson",NA,NA,-105.01863,NA,NA,3,NA,"ICZN","http://arctos.database.museum/guid/DMNS:Mamm:16421?seid=3149585","found dead in road",NA,"Carnivora",732,"http://arctos.database.museum/guid/DMNS:Mamm:16421",NA,"DZTM: Denver Zoology Tissue Mammal=5544",NA,NA,"Chordata",44,"whole organism (frozen)","<i>Mephitis mephitis</i> (accepted ID) identified by Andrew Charles Doll on 2016-03-14; method: field","DWC_ARCHIVE","US","a2ef6dd1-8886-48c9-8025-c62bac973cc7","Collector(s): Andrew Charles Doll",NA,"http://arctos.database.museum/guid/DMNS:Mamm:16421",NA,"http://creativecommons.org/licenses/by-nc/3.0",NA,"salvage","Mephitis mephitis (Schreber, 1776)",NA,NA,NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"14-Mar-16","W. 54th Ave., between Rosemary Ln and Beach Court, Denver",NA,NA,NA,2016,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"48",48,"http://www.vertnet.org/resources/norms.html","Idaho",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"291898","Mammalia",359,"no specific locality recorded, Idaho, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,5,"United States",NA,NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2016-03-28T00:00:00.000+0000",28,NA,NA,NA,"sex=not recorded ; endoparasite examination=no ; ectoparasite examination=no",NA,NA,NA,NA,NA,806,0,88,NA,"2016-03-28T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1273763500,"Mephitis","Mephitis",5219379,"WGS84",NA,"Bryan S. McLean","2016-03-28 00:00:00.0","not recorded",NA,"GPS","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, Idaho",NA,NA,NA,NA,"A",NA,NA,"field","Bryan S. McLean","http://arctos.database.museum/guid/MSB:Mamm:291898?seid=3150037",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1273763500,"Animalia",1,"en","2016-07-28T04:56:09.914+0000","2016-08-04T12:18:51.215+0000","2016-06-24T04:34:26.328+0000",42.9416,NA,NA,NA,NA,NA,NA,NA,NA,"no specific locality recorded","Bryan S. McLean",NA,"waypoint: BU 424",-115.9055,NA,NA,3,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:291898?seid=3150037","frozen tissue preservation: LN2 first, -80C second.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:291898",NA,"NK=271879",NA,NA,"Chordata",44,"skull; muscle (frozen); muscle (frozen)","<i>Mephitis mephitis</i> (accepted ID) identified by Bryan S. McLean on 2016-03-28; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Bryan S. McLean, Schuyler W. Liphardt, Rentsen Oyunbat",NA,"http://arctos.database.museum/guid/MSB:Mamm:291898",NA,"http://arctosdb.org/home/data/",NA,NA,"Mephitis mephitis (Schreber, 1776)",NA,NA,NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"28 March 2016","USA/ID",NA,NA,NA,2016,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"441",441,"http://www.vertnet.org/resources/norms.html","New Mexico","Sierra County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"269148","Mammalia",359,"Ladder Ranch, 1 km north and 10 km west of Caballo, New Mexico, Sierra County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,2,"United States",NA,NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2013-03-13T00:00:00.000+0000",12,NA,NA,NA,"sex=male ; total length=730 mm; tail length=350 mm; hind foot with claw=73 mm; ear from notch=30 mm; weight=1400 g; reproductive data=scrotal T=17x15 ; endoparasite examination=yes ; endoparasites detected=yes",NA,NA,NA,NA,NA,1430,0,71,NA,"2013-03-12T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1145296512,"Mephitis","Mephitis",5219379,"WGS84",NA,"Amanda K. Jones","2013-03-12 00:00:00.0","not recorded",NA,"GPS","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, New Mexico, Sierra County",NA,NA,NA,NA,"A",NA,NA,"student","Amanda K. Jones","http://arctos.database.museum/guid/MSB:Mamm:269148?seid=2310102",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145296512,"Animalia",1,"en","2016-07-28T04:56:02.941+0000","2016-08-04T12:18:30.561+0000","2016-06-24T04:34:13.027+0000",33.0067999991376,NA,NA,NA,NA,NA,NA,NA,NA,"Ladder Ranch, 1 km north and 10 km west of Caballo","Amanda K. Jones",NA,NA,-107.4632,NA,NA,3,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:269148?seid=2310102","Tissue Preservation: LN2 first, -80C second.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:269148",NA,"NK=224931; Trapline ID=RD 029",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton; heart, kidney, lung, spleen (frozen); liver (frozen)","<i>Mephitis mephitis</i> (accepted ID) identified by Amanda K. Jones on 2013-03-13; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Amanda K. Jones, Ladder Ranch Survey 2013",NA,"http://arctos.database.museum/guid/MSB:Mamm:269148",NA,"http://arctosdb.org/home/data/",NA,NA,"Mephitis mephitis (Schreber, 1776)",NA,"MALE",NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"12 MAR 2013","USA/NM Sierra Ladder R. 1 km N, 10 km W of Caballo",NA,NA,NA,2013,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"539",539,NA,"Texas","Tom Green",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14755","Mammalia",359,"San Angelo, 0.7 mi W Loop 306, Arden Rd, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-01-31T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061289679,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289679,"Animalia",1,NA,"2016-06-28T07:24:31.086+0000","2016-08-04T15:40:27.010+0000","2015-03-03T13:48:29.701+0000",31.4483,NA,NA,NA,NA,NA,NA,NA,NA,"San Angelo, 0.7 mi W Loop 306, Arden Rd",NA,NA,NA,-100.50442,NA,NA,1,NA,NA,"c08aef44-997e-496f-a383-0f779b6450d2",NA,NA,"Carnivora",732,NA,NA,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Mephitis mephitis (Schreber, 1776)",NA,"MALE",NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"31 January 2012","San Angelo, 0.7 mi W Loop 306 on Arden Rd., N 31.448154°, W 100.504271°",NA,"Striped Skunk",NA,2012,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"547",547,NA,"Texas","Tom Green",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14648","Mammalia",359,"San Angelo, jct Loop 306 and Knickerbock Rd, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-01-28T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061289615,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289615,"Animalia",1,NA,"2016-06-28T07:24:31.051+0000","2016-08-04T15:40:26.854+0000","2015-03-03T13:48:29.547+0000",31.4161,NA,NA,NA,NA,NA,NA,NA,NA,"San Angelo, jct Loop 306 and Knickerbock Rd",NA,NA,NA,-100.4735,NA,NA,1,NA,NA,"6435ba06-a403-4375-b037-2e3eb7e83c4c",NA,NA,"Carnivora",732,NA,NA,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Mephitis mephitis (Schreber, 1776)",NA,"MALE",NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"28 January 2012","San Angelo (Knickerbocker at Loop 306) 31.417303°N, 100.476705°W",NA,"Striped Skunk",NA,2012,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"579",579,NA,"Texas","Tom Green",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14752","Mammalia",359,"San Angelo, Hwy 87, near Chadbourne, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-02-05T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061289716,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289716,"Animalia",1,NA,"2016-06-28T07:24:31.102+0000","2016-08-04T15:40:27.046+0000","2015-03-03T13:48:29.766+0000",31.52303,NA,NA,NA,NA,NA,NA,NA,NA,"San Angelo, Hwy 87, near Chadbourne",NA,NA,NA,-100.48448,NA,NA,2,NA,NA,"8a598f13-372d-420f-9697-49bf22859fbb",NA,NA,"Carnivora",732,NA,NA,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Mephitis mephitis (Schreber, 1776)",NA,NA,NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"05 February 2012","San Angelo, Hwy 87 near Chadbourne, N 31.523032°, W 100.484483°",NA,"Striped Skunk",NA,2012,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"588",588,NA,"Texas","Winkler",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14701","Mammalia",359,"no specific locality, Texas, Winkler, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-03-04T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061289669,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289669,"Animalia",1,NA,"2016-06-28T07:24:31.090+0000","2016-08-04T15:40:27.605+0000","2015-03-03T13:48:29.670+0000",31.86153,NA,NA,NA,NA,NA,NA,NA,NA,"no specific locality",NA,NA,NA,-103.05427,NA,NA,3,NA,NA,"0adf09ba-1a6b-4f0c-8156-08b2735445c1",NA,NA,"Carnivora",732,NA,NA,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Texas Department of State Health Services",NA,NA,NA,NA,NA,NA,"Mephitis mephitis (Schreber, 1776)",NA,NA,NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"04 March 2012",NA,NA,"Striped Skunk",NA,2012,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"615",615,"http://www.vertnet.org/resources/norms.html","New Mexico","Mora County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"128674","Mammalia",359,"Wind River Ranch, New Mexico, Mora County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,3036,"United States",NA,NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2012-04-13T00:00:00.000+0000",13,NA,NA,NA,"sex=recorded as unknown",NA,NA,NA,NA,NA,NA,NA,104,NA,"2012-04-13T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1145157482,"Mephitis","Mephitis",5219379,"WGS84",NA,"Cindy A. Ramotnik","2012-04-13 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, New Mexico, Mora County",NA,NA,NA,NA,"A",NA,NA,"student","Cindy A. Ramotnik","http://arctos.database.museum/guid/MSB:Mamm:128674?seid=2605948",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145157482,"Animalia",1,"en","2016-07-28T04:55:27.567+0000","2016-08-04T12:18:39.338+0000","2016-06-24T04:32:51.584+0000",35.05339,NA,NA,NA,NA,NA,NA,NA,NA,"Wind River Ranch","Cindy A. Ramotnik",NA,NA,-104.73916,NA,NA,4,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:128674?seid=2605948",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:128674",NA,"USGS: U.S. Geological Survey=128674; collector number=CAR 5066",NA,NA,"Chordata",44,"cranium","<i>Mephitis mephitis</i> (accepted ID) identified by Cindy A. Ramotnik on 2012-04-13; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Cindy A. Ramotnik","CAR 5066","http://arctos.database.museum/guid/MSB:Mamm:128674",NA,"http://arctosdb.org/home/data/",NA,"salvage","Mephitis mephitis (Schreber, 1776)",NA,NA,NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"13 Apr 2012","New Mexico: Mora Co., Wind River Ranch",NA,NA,NA,2012,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"648",648,NA,"Texas","Burnet",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"15045","Mammalia",359,"no specific locality, Texas, Burnet, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-07-08T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061290007,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061290007,"Animalia",1,NA,"2016-06-28T07:24:31.201+0000","2016-08-04T15:40:26.404+0000","2015-03-03T13:48:30.383+0000",30.77135,NA,NA,NA,NA,NA,NA,NA,NA,"no specific locality",NA,NA,NA,-98.17692,NA,NA,7,NA,NA,"cf108750-9254-45b7-9bec-c41d234df137",NA,NA,"Carnivora",732,NA,NA,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Texas Department of State Health Services",NA,NA,NA,NA,NA,NA,"Mephitis mephitis (Schreber, 1776)",NA,NA,NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"08 July 2012","No specific locality",NA,"Striped Skunk",NA,2012,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
"693",693,NA,"Texas","Smith",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14867","Mammalia",359,"no specific locality, Texas, Smith, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-11-06T00:00:00.000+0000",NA,NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061289832,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289832,"Animalia",1,NA,"2016-06-28T07:24:31.147+0000","2016-08-04T15:40:27.154+0000","2015-03-03T13:48:30.063+0000",32.41067,NA,NA,NA,NA,NA,NA,NA,NA,"no specific locality",NA,NA,NA,-95.2897,NA,NA,11,NA,NA,"19ae7c3b-08af-4a27-a4ba-fb9284c58685",NA,NA,"Carnivora",732,NA,NA,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Texas Department of State Health Services",NA,NA,NA,NA,NA,NA,"Mephitis mephitis (Schreber, 1776)",NA,NA,NA,"Mephitis mephitis",5219380,"mephitis",NA,NA,5219380,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"06 November 2012",NA,NA,"Striped Skunk",NA,2012,"2016-08-10",41635,"Mephitis mephitis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",597.384814797,1399.62348233,TRUE
