"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventTime","family","familyKey","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"30",NA,"South Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.46946.001","Mammalia",359,"South Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,14,NA,NA,NA,NA,NA,NA,"2014-09-14T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1206739",NA,"Macropodidae",9372,NA,"Australia","1101229690","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81b36996-30d3-4338-987a-121f61e27dd0",NA,NA,NA,"AM",NA,NA,NA,"AU",1101229690,"Animalia",1,NA,"2016-08-19T08:07:06.083+0000","2016-08-04T14:23:24.865+0000","2016-03-12T00:31:42.705+0000",-31.94583,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, 12.1km S of Hawker, Flinders Ranges Way, (31° 56' 45"" S, 138° 23' 59"" E) 14/09/2014 - 14/09/2014, Sadlier, Dr. Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Col"";",138.39971,NA,9,NA,"81b36996-30d3-4338-987a-121f61e27dd0",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ross Sadlier",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2014,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"39",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45703.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,8,NA,NA,NA,NA,NA,NA,"2013-03-08T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176190",NA,"Macropodidae",9372,NA,"Australia","1101227581","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e0db6ccd-6953-492c-b723-9e17a1ea42b4",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227581,"Animalia",1,NA,"2016-08-19T08:07:05.755+0000","2016-08-04T14:23:24.198+0000","2015-07-17T07:04:46.510+0000",-31.88678,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Eyre Highway, 45 km W of Mundrabilla (31° 53' 12"" S, 127° 45' 52"" E) 08/03/2013 - 08/03/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum - Herp"";",127.76444,NA,3,NA,"e0db6ccd-6953-492c-b723-9e17a1ea42b4",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2013,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"40",NA,"South Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45706.001","Mammalia",359,"South Australia, Australia","Mammalogy",NA,NA,1e-05,1000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,10,NA,NA,NA,NA,NA,NA,"2013-03-10T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176193",NA,"Macropodidae",9372,NA,"Australia","1101227593","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68726fbf-fdeb-48f9-a1c0-d16e25db4e9e",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227593,"Animalia",1,NA,"2016-08-19T08:07:05.757+0000","2016-08-04T14:24:04.529+0000","2015-07-17T07:04:46.537+0000",-34.63499,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, Flinders Highway, ~22 km NW of Port Lincoln (34° 38' 06"" S, 135° 41' 13"" E) 10/03/2013 - 10/03/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum -"";",135.68694,NA,3,NA,"68726fbf-fdeb-48f9-a1c0-d16e25db4e9e",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2013,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"42",NA,"South Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45709.001","Mammalia",359,"South Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,11,NA,NA,NA,NA,NA,NA,"2013-03-11T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176206",NA,"Macropodidae",9372,NA,"Australia","1101227602","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171ea1f5-fd0e-4f7e-a71b-741bf3c4c0f3",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227602,"Animalia",1,NA,"2016-08-19T08:07:05.755+0000","2016-08-04T14:23:32.010+0000","2015-07-17T07:04:46.557+0000",-32.85594,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, Barrier Highway, 37 km NE of Peterborough (32° 51' 21"" S, 139° 08' 50"" E) 11/03/2013 - 11/03/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum - H"";",139.14724,NA,3,NA,"171ea1f5-fd0e-4f7e-a71b-741bf3c4c0f3",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2013,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"43",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45700.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,2,NA,NA,NA,NA,NA,NA,"2013-03-02T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176183",NA,"Macropodidae",9372,NA,"Australia","1101227710","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1688e966-fb9e-47c6-9fb7-7f81b1e26f3f",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227710,"Animalia",1,NA,"2016-08-19T08:07:05.753+0000","2016-08-04T14:22:58.940+0000","2015-07-17T07:04:46.802+0000",-27.49027,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, North West Coastal Highway, ~4 km S of Eurardy (27° 29' 25"" S, 114° 43' 05"" E) 02/03/2013 - 02/03/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Mus"";",114.71804,NA,3,NA,"1688e966-fb9e-47c6-9fb7-7f81b1e26f3f",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2013,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"44",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45702.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,5,NA,NA,NA,NA,NA,NA,"2013-03-05T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176188",NA,"Macropodidae",9372,NA,"Australia","1101227578","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab0dcf6f-7b6e-4c20-89d8-7c8621d46573",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227578,"Animalia",1,NA,"2016-08-19T08:07:05.757+0000","2016-08-04T14:23:00.552+0000","2015-07-17T07:04:46.502+0000",-28.16777,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, North West Coastal Highway, intersection with Well Siding Road, edge of Ogilvie ... (28° 10' 04"" S, 114° 38' 58"" E) 05/03/2013 - 05/03/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), B"";",114.64944,NA,3,NA,"ab0dcf6f-7b6e-4c20-89d8-7c8621d46573",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2013,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"217",NA,"Victoria",NA,NA,"PRESERVED_SPECIMEN",NA,"C36950","Mammalia",359,"8.9 km W + 6.2 km S Neds Corner Station Homestead, Neds Corner, Victoria, Australia, Victoria, Australia, OCEANIA","Mammalogy",NA,"OCEANIA",NA,500,"Australia",NA,"39905320-6c8a-11de-8226-b8a03c50a862",NA,"2011-11-30T00:00:00.000+0000",30,NA,NA,NA,NA,NA,NA,"2011-11-30T00:00:00.000+0000","BBNC 043",NA,"Macropodidae",9372,NA,"Australia","1272793406","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dr Karen M. Rowe","aa793eff-8654-4959-a3e3-c07fb03d86bd",1,NA,NA,"NMV",NA,NA,NA,"AU",1272793406,"Animalia",1,NA,"2016-08-19T07:34:10.135+0000","2016-08-03T15:25:08.578+0000","2016-06-21T15:09:55.945+0000",-34.2082,NA,NA,"8.9 km W + 6.2 km S Neds Corner Station Homestead, Neds Corner, Victoria, Australia",NA,NA,141.22,NA,11,NA,"aa793eff-8654-4959-a3e3-c07fb03d86bd",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4cff2aca-5ce5-4028-88e6-d79b6449173a","Dr Karen M. Rowe",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2011,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"220",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M24905","Mammalia",359,"Australia","Mammalogy",NA,NA,1e-05,NA,"Australia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,23,NA,NA,NA,NA,NA,NA,"2010-05-23T00:00:00.000+0000",NA,NA,"Macropodidae",9372,NA,"Australia","691343351","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stemmer, David - South Australian Museum",NA,NA,NA,NA,"SAMA",NA,NA,NA,"AU",691343351,"Animalia",1,NA,"2013-09-07T07:16:41.000+0000","2016-08-04T15:41:42.282+0000",NA,-34.95055,NA,NA,NA,NA,NA,140.45555,NA,5,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Kemper C. & Carpenter G.",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,2010,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"415",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"OPM372893-1478586","Mammalia",359,"Spilsby Island., Australia","OP",NA,NA,NA,NA,"Australia",NA,"40c0f670-ee87-4576-be9d-2725e0b47035",NA,NA,14,NA,NA,NA,NA,NA,NA,"2009-05-14T00:00:00.000+0000",NA,NA,"Macropodidae",9372,NA,"Australia","501526259","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA Fauna",NA,NA,NA,"AU",501526259,"Animalia",1,NA,"2013-09-07T07:24:04.000+0000","2016-08-03T15:43:56.043+0000",NA,-32.85298,NA,NA,"Spilsby Island.",NA,NA,136.30662,NA,5,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","526a57bd-769c-4cc9-94ae-1eb9bdfa5d6c","ROBINSON A.C. Tony",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,2009,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"678",NA,"Sa",NA,NA,"PRESERVED_SPECIMEN",NA,"M24328","Mammalia",359,"Adelaide (GPO), Sa, Australia","Mammalogy",NA,NA,1e-05,NA,"Australia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,17,NA,NA,NA,NA,NA,NA,"2007-09-17T00:00:00.000+0000",NA,NA,"Macropodidae",9372,NA,"Australia","500881990","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stemmer, David - South Australian Museum",NA,NA,NA,NA,"SAMA",NA,NA,NA,"AU",500881990,"Animalia",1,NA,"2013-09-07T07:22:26.000+0000","2016-08-04T15:41:08.332+0000",NA,-35.00916,NA,NA,"Adelaide (GPO)",NA,NA,138.70805,NA,9,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Fulbohm, Tim - NPWSA",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,2007,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"690",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"SUM30008-265720","Mammalia",359,"Follow track east from Nanwoora Well for 10.0km to old car body (faint track comes in from the north here). Continue 1.7km south east along track to site on south side of track in grassland., Australia","SU",NA,NA,NA,NA,"Australia",NA,"40c0f670-ee87-4576-be9d-2725e0b47035",NA,NA,29,NA,NA,NA,NA,NA,NA,"2007-10-29T00:00:00.000+0000",NA,NA,"Macropodidae",9372,NA,"Australia","501882866","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA Fauna",NA,NA,NA,"AU",501882866,"Animalia",1,NA,"2013-09-07T07:24:55.000+0000","2016-08-03T15:43:11.626+0000",NA,-31.39714,NA,NA,"Follow track east from Nanwoora Well for 10.0km to old car body (faint track comes in from the north here). Continue 1.7km south east along track to site on south side of track in grassland.",NA,NA,131.72288,NA,10,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","526a57bd-769c-4cc9-94ae-1eb9bdfa5d6c","HOPTON D. Debbie;PILLMAN S.J. Stuart;HABY N. Nerissa",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,2007,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"708",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45693.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,24,NA,NA,NA,NA,NA,NA,"2007-11-24T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1175853",NA,"Macropodidae",9372,NA,"Australia","1101227694","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"712931bb-ee4a-435e-b381-01037f4cec83",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227694,"Animalia",1,NA,"2016-08-19T08:07:05.756+0000","2016-08-04T14:23:40.056+0000","2015-07-17T07:04:46.752+0000",-33.61055,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Between Arthur River and Boyup Brook (33° 36' 38"" S, 116° 46' 00"" E) 24/11/2007 - 24/11/2007, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum - Herp"";",116.766,NA,11,NA,"712931bb-ee4a-435e-b381-01037f4cec83",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2007,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"725",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45678.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-12-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1175854",NA,"Macropodidae",9372,NA,"Australia","1101227643","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89c307b2-7e85-4495-bbf6-9529024ac635",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227643,"Animalia",1,NA,"2016-08-19T08:07:05.748+0000","2016-08-04T14:23:27.664+0000","2015-07-17T07:04:46.645+0000",-32.26161,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, 97km W of Balladonia (32° 15' 42"" S, 122° 45' 37"" E) /12/2007 - /12/2007, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Collector an"";",122.76022,NA,12,NA,"89c307b2-7e85-4495-bbf6-9529024ac635",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2007,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
"726",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45681.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-12-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1175857",NA,"Macropodidae",9372,NA,"Australia","1101227655","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33ad00f1-e9f4-4d79-b5fb-07397ede55f8",NA,NA,NA,"AM",NA,NA,NA,"AU",1101227655,"Animalia",1,NA,"2016-08-19T08:07:05.760+0000","2016-08-04T14:23:28.681+0000","2015-07-17T07:04:46.670+0000",-32.37946,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, ~70km E of Balladonia (32° 22' 46"" S, 124° 35' 35"" E) /12/2007 - /12/2007, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Collector a"";",124.5931,NA,12,NA,"33ad00f1-e9f4-4d79-b5fb-07397ede55f8",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus fuliginosus (Desmarest, 1817)",NA,"Macropus fuliginosus",5219965,"fuliginosus",NA,NA,5219965,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Western Grey Kangaroo",2007,2016-08-25,40563,"Macropus fuliginosus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",139.012399152,152.373403529,TRUE
