"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNumber","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate"
"1",NA,"South Dakota",NA,NA,"UNKNOWN",NA,"65-7134-2679","Mammalia",359,"Custer, South Dakota, United States, NORTH_AMERICA","SD-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-02-07T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"107",NA,"United States","1274586015","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-7134-2679",NA,NA,"NTSRV",NA,"US",1274586015,"Animalia",1,NA,"2016-06-28T16:49:50.233+0000","2016-08-04T03:33:17.404+0000","2016-06-28T16:49:50.264+0000",NA,NA,NA,NA,NA,NA,NA,"Custer",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2012,2016-08-10
"2",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2665112","Mammalia",359,"United States","Observations",NA,NA,27458,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-10T19:23:16.000+0000",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-09-09T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,"United States","1249291351","Mustela","Mustela",2433922,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2665112",NA,"5012748",NA,NA,NA,NA,"2665112",NA,"Coordinate uncertainty increased by 10000m to protect threatened taxon","iNaturalist",NA,"US",1249291351,"Animalia",1,NA,"2016-08-10T00:29:15.483+0000","2016-08-10T00:43:30.370+0000","2016-08-10T00:29:15.553+0000",43.44816,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-103.51783,"2016-05-26T20:22:36.000+0000",9,NA,NA,"http://www.inaturalist.org/observations/2665112","As of the 2015 fall BFF survey, Wind Cave had a minimum of 30 black-footed ferrets in the Park (reintroduced in 2007)",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Barbara Muenchau",NA,"http://www.inaturalist.org/observations/2665112","© Barbara Muenchau some rights reserved","Barbara Muenchau",NA,"Mustela nigripes (Audubon & Bachman, 1851)",NA,NA,"Mustela nigripes",5218985,"nigripes",NA,"41809",5218985,"SPECIES",NA,NA,NA,NA,"September 9, 2012","South Dakota, US",NA,2012,2016-08-10
"3",NA,"South Dakota",NA,NA,"LITERATURE",NA,"65-7763-2678","Mammalia",359,"Corson, South Dakota, United States, NORTH_AMERICA","SD-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-11-13T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"109",NA,"United States","1274050966","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-7763-2678",NA,NA,"NTSRV",NA,"US",1274050966,"Animalia",1,NA,"2016-06-28T16:44:24.070+0000","2016-08-04T03:35:25.488+0000","2016-06-28T16:44:24.157+0000",NA,NA,NA,NA,NA,NA,NA,"Corson",NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2012,2016-08-10
"4",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"1074238","Mammalia",359,"United States","Observations",NA,NA,10000,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2014-11-15T02:08:09.000+0000",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-11-30T18:55:21.000+0000",NA,"00:55:21Z","Mustelidae",5307,NA,NA,"United States","1042820073","Mustela","Mustela",2433922,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1074238",NA,"1920655",NA,NA,NA,NA,"1074238",NA,"Coordinate uncertainty increased by 10000m to protect threatened taxon","iNaturalist",NA,"US",1042820073,"Animalia",1,NA,"2016-08-10T00:23:15.726+0000","2016-08-10T00:23:50.904+0000","2016-08-10T00:23:15.827+0000",35.34646,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-112.84847,"2015-10-23T18:48:50.000+0000",11,NA,NA,"http://www.inaturalist.org/observations/1074238","I assisted with the AZGFD fall survey for this species. Every individual captured was drugged so it could be weighed, measured, PIT tagged, and dusted with flea powder. When then took it to the burrow we caught it in, threw a chunk of prairie dog down the hole as a treat (previously killed and cut up by AZGFD), then let the ferret go. Was a very neat experience!",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Ashley Tubbs",NA,"http://www.inaturalist.org/observations/1074238","© Ashley Tubbs some rights reserved","Ashley Tubbs",NA,"Mustela nigripes (Audubon & Bachman, 1851)",NA,NA,"Mustela nigripes",5218985,"nigripes",NA,"41809",5218985,"SPECIES",NA,NA,NA,NA,"2012-11-30 18:55:21","Arizona, US",NA,2012,2016-08-10
"5",NA,"Arizona",NA,NA,"UNKNOWN",NA,"6-18984-173","Mammalia",359,"Coconino, Arizona, United States, NORTH_AMERICA","AZ-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,1572.77,NA,NA,NA,"2011-03-21T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"2",NA,"United States","1274557548","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-18984-173",NA,NA,"NTSRV",NA,"US",1274557548,"Animalia",1,NA,"2016-06-28T16:49:27.494+0000","2016-08-04T03:33:21.640+0000","2016-06-28T16:49:27.527+0000",NA,NA,NA,NA,NA,NA,NA,"Coconino",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2011,2016-08-10
"6",NA,"Arizona",NA,NA,"UNKNOWN",NA,"6-18983-173","Mammalia",359,"Coconino, Arizona, United States, NORTH_AMERICA","AZ-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,1652.02,NA,NA,NA,"2011-03-21T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"1",NA,"United States","1274562950","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-18983-173",NA,NA,"NTSRV",NA,"US",1274562950,"Animalia",1,NA,"2016-06-28T16:49:31.818+0000","2016-08-04T03:33:20.705+0000","2016-06-28T16:49:31.850+0000",NA,NA,NA,NA,NA,NA,NA,"Coconino",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2011,2016-08-10
"7",NA,"Arizona",NA,NA,"UNKNOWN",NA,"6-18984-184","Mammalia",359,"Yavapai, Arizona, United States, NORTH_AMERICA","AZ-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,1572.77,NA,NA,NA,"2011-03-21T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"2",NA,"United States","1274557581","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-18984-184",NA,NA,"NTSRV",NA,"US",1274557581,"Animalia",1,NA,"2016-06-28T16:49:27.529+0000","2016-08-04T03:33:21.337+0000","2016-06-28T16:49:27.553+0000",NA,NA,NA,NA,NA,NA,NA,"Yavapai",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2011,2016-08-10
"8",NA,"South Dakota",NA,NA,"LITERATURE",NA,"65-6954-2679","Mammalia",359,"Custer, South Dakota, United States, NORTH_AMERICA","SD-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1173.48,15.24,NA,NA,"2011-04-15T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"105",NA,"United States","1274582342","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-6954-2679",NA,NA,"NTSRV",NA,"US",1274582342,"Animalia",1,NA,"2016-06-28T16:49:47.154+0000","2016-08-04T03:33:17.751+0000","2016-06-28T16:49:47.185+0000",NA,NA,NA,NA,NA,NA,NA,"Custer",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2011,2016-08-10
"9",NA,"South Dakota",NA,NA,"UNKNOWN",NA,"65-7150-2721","Mammalia",359,"Stanley, South Dakota, United States, NORTH_AMERICA","SD-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-01T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"108",NA,"United States","1274585447","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-7150-2721",NA,NA,"NTSRV",NA,"US",1274585447,"Animalia",1,NA,"2016-06-28T16:49:49.773+0000","2016-08-04T03:33:17.469+0000","2016-06-28T16:49:49.792+0000",NA,NA,NA,NA,NA,NA,NA,"Stanley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2011,2016-08-10
"10",NA,"South Dakota",NA,NA,"UNKNOWN",NA,"65-7150-2705","Mammalia",359,"Lyman, South Dakota, United States, NORTH_AMERICA","SD-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-01T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"108",NA,"United States","1274585813","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-7150-2705",NA,NA,"NTSRV",NA,"US",1274585813,"Animalia",1,NA,"2016-06-28T16:49:50.082+0000","2016-08-04T03:33:17.351+0000","2016-06-28T16:49:50.113+0000",NA,NA,NA,NA,NA,NA,NA,"Lyman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2011,2016-08-10
"11",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"139285","Mammalia",359,"United States","Observations",NA,NA,10000,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2012-10-25T23:57:10.000+0000",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-03-28T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,"United States","891102825","Mustela","Mustela",2433922,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/139285",NA,"208764",NA,NA,NA,NA,"139285",NA,"Coordinate uncertainty increased by 10000m at the request of the observer","iNaturalist",NA,"US",891102825,"Animalia",1,NA,"2016-08-10T00:24:15.478+0000","2016-08-10T00:28:07.672+0000","2016-08-10T00:24:15.654+0000",35.45374,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-113.13009,"2015-10-23T18:49:04.000+0000",3,NA,NA,"http://www.inaturalist.org/observations/139285","saw 3 ferrets, while volunteering with AZGF ferret survey",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Kenneth Bader",NA,"http://www.inaturalist.org/observations/139285","© Kenneth Bader some rights reserved","Kenneth Bader",NA,"Mustela nigripes (Audubon & Bachman, 1851)",NA,NA,"Mustela nigripes",5218985,"nigripes",NA,"41809",5218985,"SPECIES",NA,NA,NA,NA,"2010-03-28","Coconino County, US-AZ, US",NA,2010,2016-08-10
"12",NA,"Kansas",NA,NA,"UNKNOWN",NA,"31-7041-971","Mammalia",359,"Logan, Kansas, United States, NORTH_AMERICA","KS-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-03-22T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"1",NA,"United States","1274734093","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31-7041-971",NA,NA,"NTSRV",NA,"US",1274734093,"Animalia",1,NA,"2016-06-28T16:52:44.545+0000","2016-08-04T03:32:56.495+0000","2016-06-28T16:52:44.576+0000",NA,NA,NA,NA,NA,NA,NA,"Logan",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2010,2016-08-10
"13",NA,"Kansas",NA,NA,"UNKNOWN",NA,"31-7042-971","Mammalia",359,"Logan, Kansas, United States, NORTH_AMERICA","KS-NHP",NA,"NORTH_AMERICA",NA,"United States",NA,"7fd12114-9010-4c13-8f46-990fe04ca882","NatureServe Network Species Occurrence Data",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-03-24T00:00:00.000+0000","http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102031",NA,"Mustelidae",5307,"2",NA,"United States","1274734075","Mustela","Mustela",2433922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31-7042-971",NA,NA,"NTSRV",NA,"US",1274734075,"Animalia",1,NA,"2016-06-28T16:52:44.523+0000","2016-08-04T03:32:56.495+0000","2016-06-28T16:52:44.561+0000",NA,NA,NA,NA,NA,NA,NA,"Logan",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","aa40a1e0-818b-11d9-b6d0-b8a03c50a862",NA,NA,NA,"These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.","NatureServe",NA,"Mustela nigripes (Audubon & Bachman, 1851)","180557",NA,"Mustela nigripes",5218985,"nigripes",NA,NA,5218985,"SPECIES",NA,NA,NA,NA,NA,NA,NA,2010,2016-08-10
