"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","bed","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"306",307,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Michigan","GOGEBIC CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"163338","Mammalia",359,"T45N R43W SEC25, Michigan, GOGEBIC CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005-12-03T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",686490450,"Martes","Martes",2433765,"WGS84","Sean P. Maher","2006-12-22",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9741a69b-1ed8-11e3-bfac-90b11c41863e",NA,NA,"pennanti","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490450,"Animalia",1,"en","2016-03-28T15:43:50.339+0000","2016-08-03T12:33:17.106+0000","2015-06-05T22:02:35.389+0000",46.26,NA,NA,NA,NA,NA,NA,"T45N R43W SEC25",NA,"center of section",-89.62,NA,12,NA,NA,"9741a69b-1ed8-11e3-bfac-90b11c41863e","1.5 YEARS",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","MICHIGAN DNR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Martes pennanti subsp. pennanti",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,2005,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"312",313,"http://vertnet.org/resources/norms.html","Michigan","Ontonagon",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"178659","Mammalia",359,"T15N, R38W, Section 2, Michigan, Ontonagon, United States, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34916","NORTH_AMERICA",48280,"United States",NA,NA,"6d2cfc0a-9903-40b8-802b-403398218e4a",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,"NATIVE","2005-12-10T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",784068835,"Martes","Martes",2433765,"WGS84",NA,NA,"not recorded",NA,NA,"requires verification",NA,"Carnivora | Mustelidae | Martes","| USA | Michigan | Ontonagon |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UMMZ:Mammals:178659",NA,NA,"pennanti","UMMZ","urn:lsid:biocol.org:col:34917",NA,NA,"US",784068835,"Animalia",1,"en","2015-07-16T13:30:03.454+0000","2016-08-04T00:59:15.903+0000","2015-04-07T16:41:06.501+0000",46.64756,NA,NA,NA,NA,NA,NA,"T15N, R38W, Section 2",NA,NA,-89.31883,"2015-04-06T00:00:00.000+0000",12,NA,"ICZN","urn:catalog:UMMZ:Mammals:178659","DNR Tag #F95-40","present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","6ea87510-0561-11d8-b851-b8a03c50a862",NA,"MZ10364","http://portal.vertnet.org/o/ummz/mammals?id=178659",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Martes pennanti subsp. pennanti",NA,"FEMALE",NA,"Martes pennanti",5218855,"pennanti",344,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"10 December 2005","USA | Michigan | Ontonagon | T15N, R38W, Section 2",NA,NA,2005,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"356",357,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Michigan","ONTONAGON CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"163418","Mammalia",359,"T48N R43W SEC2, Michigan, ONTONAGON CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004-12-05T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",686490530,"Martes","Martes",2433765,"WGS84","Sean P. Maher","2006-12-30",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974230a6-1ed8-11e3-bfac-90b11c41863e",NA,NA,"pennanti","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490530,"Animalia",1,"en","2016-03-28T15:43:50.357+0000","2016-08-03T12:33:16.818+0000","2015-06-05T22:02:35.454+0000",46.58,NA,NA,NA,NA,NA,NA,"T48N R43W SEC2",NA,"center of section",-89.64,NA,12,NA,NA,"974230a6-1ed8-11e3-bfac-90b11c41863e","1.5 YEARS",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","MICHIGAN DNR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Martes pennanti subsp. pennanti",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,2004,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"361",362,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Michigan","GOGEBIC CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"163335","Mammalia",359,"T45N R39W SEC24, Michigan, GOGEBIC CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004-12-03T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",686490447,"Martes","Martes",2433765,"WGS84","Sean P. Maher","2006-12-22",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9741a2d6-1ed8-11e3-bfac-90b11c41863e",NA,NA,"pennanti","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490447,"Animalia",1,"en","2016-03-28T15:43:50.323+0000","2016-08-03T12:33:16.755+0000","2015-06-05T22:02:35.396+0000",46.28,NA,NA,NA,NA,NA,NA,"T45N R39W SEC24",NA,"center of section",-89.12,NA,12,NA,NA,"9741a2d6-1ed8-11e3-bfac-90b11c41863e","6.5 YEARS",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","MICHIGAN DNR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Martes pennanti subsp. pennanti",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,2004,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"369",370,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Michigan","IRON CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"163363","Mammalia",359,"T42N R36W SEC5, Michigan, IRON CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004-12-13T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",686490475,"Martes","Martes",2433765,"WGS84","Sean P. Maher","2006-12-27",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9741c795-1ed8-11e3-bfac-90b11c41863e",NA,NA,"pennanti","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490475,"Animalia",1,"en","2016-03-28T15:43:50.347+0000","2016-08-03T12:33:16.700+0000","2014-12-17T18:52:51.989+0000",46.06,NA,NA,NA,NA,NA,NA,"T42N R36W SEC5",NA,"center of section",-88.83,NA,12,NA,NA,"9741c795-1ed8-11e3-bfac-90b11c41863e","0.5 YEARS",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","MICHIGAN DNR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Martes pennanti subsp. pennanti",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,2004,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"403",404,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Michigan","HOUGHTON CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"163353","Mammalia",359,"T52N R36W SEC30, Michigan, HOUGHTON CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004-12-13T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",686490465,"Martes","Martes",2433765,"WGS84","Sean P. Maher","2006-12-27",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9741b980-1ed8-11e3-bfac-90b11c41863e",NA,NA,"pennanti","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490465,"Animalia",1,"en","2016-03-28T15:43:50.328+0000","2016-08-03T12:33:16.857+0000","2014-12-17T18:52:52.002+0000",46.87,NA,NA,NA,NA,NA,NA,"T52N R36W SEC30",NA,"center of section",-88.92,NA,12,NA,NA,"9741b980-1ed8-11e3-bfac-90b11c41863e","0.5 YEARS",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","MICHIGAN DNR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Martes pennanti subsp. pennanti",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,2004,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"491",492,"not-for-profit use only","Ontario","Nipissing",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"116763","Mammalia",359,"Ontario, Nipissing, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004-01-01T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"Canada",891423328,"Martes","Martes",2433765,"WGS84","Bradley G. Millen (ROM)","2013-07-31","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"GeoLocate",NA,NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae; Martes","North America; Canada; Ontario; Nipissing",NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:116763",NA,NA,NA,"Royal Ontario Museum: ROM",NA,NA,NA,"CA",891423328,"Animalia",1,"en","2015-01-22T18:30:58.521+0000","2016-08-04T13:23:33.712+0000","2015-01-22T18:30:58.668+0000",45.52567,NA,NA,NA,NA,NA,"ADULT",NA,NA,NA,-78.19835,"2014-11-19T00:00:00.000+0000",NA,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin; mount",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Hockley, K","F54010",NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/","Royal Ontario Museum; ROM",NA,"Martes pennanti (Erxleben, 1777)",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,5218855,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"20040000",NA,NA,NA,2004,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"528",529,"http://www.vertnet.org/resources/norms.html","California","Tulare County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"223151","Mammalia",359,"On Hwy. 198 (Generals Hwy.), Sequoia National Park, California, Tulare County, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34904","NORTH_AMERICA",201.43,"United States",NA,NA,"0daed095-478a-4af6-abf5-18acb790fbb2",NA,"2008-12-12T00:00:00.000+0000",6,NA,NA,NA,"sex=female",NA,NA,NA,NA,NA,NA,218,NA,"2003-08-06T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1145802201,"Martes","Martes",2433765,"WGS84","Madeline S. Tiee","2008-12-08 00:00:00.0","MaNIS georeferencing guidelines",NA,"UTM conversion tool and Google Earth 8 Dec 2008, TeleAtlas","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;","North America, United States, California, Tulare County",NA,NA,NA,"A",NA,NA,"geographic distribution","Madeline S. Tiee","http://arctos.database.museum/guid/MVZ:Mamm:223151?seid=78882",1,NA,"pacifica","MVZ","urn:lsid:biocol.org:col:34777",NA,NA,"US",1145802201,"Animalia",1,"en","2016-08-09T09:39:00.230+0000","2016-08-09T09:41:45.106+0000","2016-08-09T09:39:00.820+0000",36.5518675936501,NA,NA,NA,NA,NA,NA,"On Hwy. 198 (Generals Hwy.), Sequoia National Park","Madeline S. Tiee","found on Generals Hwy as roadkill (Hwy 198)",-118.786929478571,NA,8,NA,"ICZN","http://arctos.database.museum/guid/MVZ:Mamm:223151?seid=78882","Skinned pelt with foot bones received from Shane Fryer--found as road kill in park.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MVZ:Mamm:223151","collector number=6",NA,NA,"Chordata",44,"skin; tissue (frozen); skeleton; stomach content (70% ethanol)","<i>Martes pennanti pacifica</i> (accepted ID) identified by Madeline S. Tiee on 2008-12-12; method: geographic distribution","DWC_ARCHIVE","US","8edbbde0-055e-11d8-b850-b8a03c50a862","Collector(s): Zachary R. Hanna, Shane Fryer","6","http://arctos.database.museum/guid/MVZ:Mamm:223151",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,"roadkill","Martes pennanti subsp. pacifica Rhoads, 1898",NA,"FEMALE",NA,"Martes pennanti",5218855,"pennanti",NA,NA,5218857,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"6 August 2003","On Hwy. 198 (Generals Hwy.), Sequoia National Park",NA,NA,2003,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"543",544,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Michigan","GOGEBIC CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"163162","Mammalia",359,"T49N R47W SEC35, Michigan, GOGEBIC CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2003-11-23T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",686490274,"Martes","Martes",2433765,"WGS84","Sean P. Maher","2006-12-23",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97407e15-1ed8-11e3-bfac-90b11c41863e",NA,NA,"pennanti","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490274,"Animalia",1,"en","2016-03-28T15:43:50.279+0000","2016-08-03T12:33:16.564+0000","2014-12-17T18:52:51.890+0000",46.6,NA,NA,NA,NA,NA,NA,"T49N R47W SEC35",NA,"center of section",-90.14,NA,11,NA,NA,"97407e15-1ed8-11e3-bfac-90b11c41863e","1.5 YEARS",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","MICHIGAN DNR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Martes pennanti subsp. pennanti",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,2003,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"572",573,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Michigan","GOGEBIC CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"163144","Mammalia",359,"T47N R46W SEC18, Michigan, GOGEBIC CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2003-12-02T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",686490256,"Martes","Martes",2433765,"WGS84","Sean P. Maher","2006-12-23",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97406795-1ed8-11e3-bfac-90b11c41863e",NA,NA,"pennanti","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490256,"Animalia",1,"en","2016-03-28T15:43:50.284+0000","2016-08-03T12:33:16.679+0000","2015-06-05T22:02:35.322+0000",46.47,NA,NA,NA,NA,NA,NA,"T47N R46W SEC18",NA,"center of section",-90.1,NA,12,NA,NA,"97406795-1ed8-11e3-bfac-90b11c41863e","8.5 YEARS",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","MICHIGAN DNR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Martes pennanti subsp. pennanti",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,2003,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"635",636,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Michigan","HOUGHTON CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"163178","Mammalia",359,"T53N R36W SEC5, Michigan, HOUGHTON CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2003-12-03T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",686490290,"Martes","Martes",2433765,"WGS84","Sean P. Maher","2006-12-27",NA,NA,"Topozone.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97409204-1ed8-11e3-bfac-90b11c41863e",NA,NA,"pennanti","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686490290,"Animalia",1,"en","2016-03-28T15:43:50.290+0000","2016-08-03T12:33:16.843+0000","2015-06-05T22:02:35.351+0000",47.01,NA,NA,NA,NA,NA,NA,"T53N R36W SEC5",NA,"center of section",-88.9,NA,12,NA,NA,"97409204-1ed8-11e3-bfac-90b11c41863e","2.5 YEARS",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","MICHIGAN DNR",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Martes pennanti subsp. pennanti",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,7193967,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,2003,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
"715",716,"not-for-profit use only","Ontario","Nipissing",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"116761","Mammalia",359,"Ontario, Nipissing, Canada, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34909","NORTH_AMERICA",NA,"Canada",NA,NA,"c5c4a23e-2035-4416-ab64-032d6df52ddb","Mammalogy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2003-01-01T00:00:00.000+0000",NA,NA,"Mustelidae",5307,NA,NA,NA,"Canada",891423346,"Martes","Martes",2433765,"WGS84","Bradley G. Millen (ROM)","2013-07-31","MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices",NA,"Energy, Mines and Resources Canada, Series A501, Huntsville, 31E, 1:250,000, Edition 3, 1996",NA,NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae; Martes","North America; Canada; Ontario; Nipissing",NA,NA,NA,NA,NA,NA,NA,NA,"URI:catalog:ROM:Mammals:116761",NA,NA,NA,"Royal Ontario Museum: ROM",NA,NA,NA,"CA",891423346,"Animalia",1,"en","2015-01-22T18:30:58.520+0000","2016-08-04T13:23:33.968+0000","2015-01-22T18:30:58.670+0000",45.3987799990569,NA,NA,NA,NA,NA,"ADULT",NA,NA,NA,-78.12761,"2014-11-19T00:00:00.000+0000",NA,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin; mount",NA,"DWC_ARCHIVE","CA","ff418020-1d67-11d9-8435-b8a03c50a862","Hockley, K","F54008",NA,NA,"https://creativecommons.org/licenses/by-nc/4.0/","Royal Ontario Museum; ROM",NA,"Martes pennanti (Erxleben, 1777)",NA,NA,NA,"Martes pennanti",5218855,"pennanti",NA,NA,5218855,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"20030000",NA,NA,NA,2003,"2016-08-10",41651,"Martes pennanti",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",449.727567173,455.412234314,TRUE
