"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bed","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNumber","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"11",11,"http://www.vertnet.org/resources/norms.html","New Mexico","Grant County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"284717","Mammalia",359,"near Pinos Altos, New Mexico, Grant County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",2000,"United States","b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2014-09-27T00:00:00.000+0000",27,NA,NA,NA,"sex=unknown",NA,NA,NA,NA,NA,NA,NA,270,NA,"2014-09-27T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145313798,"Spilogale","Spilogale",2434820,"WGS84",NA,"Mammalogy Class 2014","2014-09-27 00:00:00.0","not recorded",NA,"unknown","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, New Mexico, Grant County",NA,NA,NA,NA,"A",NA,"field","Mammalogy Class 2014","http://arctos.database.museum/guid/MSB:Mamm:284717?seid=2670546",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145313798,"Animalia",1,"en","2016-07-28T04:56:08.111+0000","2016-08-04T12:18:29.940+0000","2016-06-24T04:34:22.082+0000",32.86462,NA,NA,NA,NA,NA,NA,NA,"near Pinos Altos","Mammalogy Class 2014",NA,NA,-108.22076,NA,NA,9,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:284717?seid=2670546",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:284717","NK=256874",NA,NA,"Chordata",44,"skull; muscle (ethanol)","<i>Spilogale gracilis</i> (accepted ID) identified by Mammalogy Class 2014 on 2014-09-27; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Mammalogy Class 2014, Jeff Lehmer, Amanda K. Jones",NA,"http://arctos.database.museum/guid/MSB:Mamm:284717",NA,"http://arctosdb.org/home/data/",NA,NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,"PhysicalObject",NA,"decimal degrees",NA,"2013-2014","Grant County",NA,2014,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"16",16,NA,"Texas","Kimble",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"14779","Mammalia",359,"7.5 mi S, 7.5 mi W Junction, W Hwy 377, Texas, Kimble, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-01-25T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289735,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289735,"Animalia",1,NA,"2016-06-28T07:24:31.109+0000","2016-08-04T15:40:26.396+0000","2015-03-03T13:48:29.818+0000",30.38021,NA,NA,NA,NA,NA,NA,NA,"7.5 mi S, 7.5 mi W Junction, W Hwy 377",NA,NA,NA,-99.89013,NA,NA,1,NA,"357f1220-6bd4-465a-abb8-891452ae4c5d",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Canard, J R",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,"MALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,NA,"25 January 2012","7.5 mi S, 7.5 mi W Junction, W Hwy 377","Western Spotted Skunk",2012,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"18",18,NA,"Texas","Tom Green",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"14890","Mammalia",359,"5.8 mi S, 1.5 mi W San Angelo, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-06-02T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289867,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289867,"Animalia",1,NA,"2016-06-28T07:24:31.142+0000","2016-08-04T15:40:27.156+0000","2015-03-03T13:48:30.107+0000",31.37699,NA,NA,NA,NA,NA,NA,NA,"5.8 mi S, 1.5 mi W San Angelo",NA,NA,NA,-100.47251,NA,NA,6,NA,"a7f1badb-e4bf-4473-98d0-0d2348fee012",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skin, skeleton",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Carranco, C",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,"MALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,NA,"02 June 2011","5.8 mi S, 1.5mi W San Angelo, 31.376989°N 100.472514°W","Western Spotted Skunk",2011,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"22",22,NA,"Texas","Tom Green",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"14656","Mammalia",359,"Dove Creek, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-07-04T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061289637,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289637,"Animalia",1,NA,"2016-06-28T07:24:31.060+0000","2016-08-04T15:40:26.807+0000","2015-03-03T13:48:29.590+0000",31.27352,NA,NA,NA,NA,NA,NA,NA,"Dove Creek",NA,NA,NA,-100.63005,NA,NA,7,NA,"9a2c5dea-67c9-4f4c-984a-232b10da6ae6",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"heart, kidney;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,"FEMALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,NA,"04 July 2010","Dove Creek","Western Spotted Skunk",2010,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"27",27,NA,"Texas","Bandera",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13833","Mammalia",359,"2 mi E Vanderpool, Rte 377, Texas, Bandera, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.59,NA,NA,NA,"2009-03-25T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061288766,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061288766,"Animalia",1,NA,"2016-06-28T07:24:30.731+0000","2016-08-04T15:40:25.964+0000","2015-03-03T13:48:27.697+0000",29.75761,NA,NA,NA,NA,NA,NA,NA,"2 mi E Vanderpool, Rte 377",NA,NA,NA,-99.52214,NA,NA,3,NA,"ccda0f76-f24f-4dc3-9a88-44d8358901f4",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"muscle;liver;heart, kidney;skin, skeleton",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Brent, R",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,"MALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,"540 m","25 March 2009","2 mi E Vanderpoolon Rt. 337, N 29.75938°, W 99.52229°, 540m elev.","Western Spotted Skunk",2009,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"30",30,"http://www.vertnet.org/resources/norms.html","Arizona","Santa Cruz County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"214933","Mammalia",359,"Patagonia on Harshaw Creek Road, Arizona, Santa Cruz County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,"United States","b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2009-09-09T00:00:00.000+0000",11,NA,NA,NA,"sex=female ; total length=345 mm; tail length=110 mm; hind foot with claw=40 mm; ear from notch=26 mm",NA,NA,NA,NA,NA,1441,8,223,NA,"2009-08-11T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145247253,"Spilogale","Spilogale",2434820,"WGS84",NA,"William A. Talbot","2009-08-11 00:00:00.0","not recorded",NA,"Not Recorded","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, Arizona, Santa Cruz County",NA,NA,NA,NA,"A",NA,"field","William A. Talbot","http://arctos.database.museum/guid/MSB:Mamm:214933?seid=863826",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145247253,"Animalia",1,"en","2016-07-28T04:55:49.435+0000","2016-08-04T12:18:25.806+0000","2016-06-24T04:33:39.018+0000",31.35773,NA,NA,NA,NA,NA,NA,NA,"Patagonia on Harshaw Creek Road","William A. Talbot",NA,NA,-110.66933,NA,NA,8,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:214933?seid=863826","Field skinned + skull + skin put in salt + put on ice. Found D.O.R. Put in red-topped + yellow topped tubes. Assisted by Paul Polechla.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:214933","NK=182242; preparator number=WAT 202",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton; muscle (frozen); reproductive tract (other); muscle (frozen) sample","<i>Spilogale gracilis</i> (accepted ID) identified by William A. Talbot on 2009-09-09; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): William A. Talbot; Preparator(s): William A. Talbot",NA,"http://arctos.database.museum/guid/MSB:Mamm:214933",NA,"http://arctosdb.org/home/data/",NA,NA,"Spilogale gracilis Merriam, 1890",NA,"FEMALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,"PhysicalObject",NA,"degrees dec. minutes",NA,"11 August 2009","Patagonia on Harshaw Creek Road",NA,2009,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"33",33,NA,"Texas","Jeff Davis",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13558","Mammalia",359,"Mount Locke, Hwy 118 near McDonald Observatory, Texas, Jeff Davis, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-19T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061288513,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061288513,"Animalia",1,NA,"2016-06-28T07:24:30.627+0000","2016-08-04T15:40:26.786+0000","2015-03-03T13:48:27.158+0000",30.66587,NA,NA,NA,NA,NA,NA,NA,"Mount Locke, Hwy 118 near McDonald Observatory",NA,NA,NA,-104.03544,NA,NA,7,NA,"72c9cbed-a95d-4115-b345-56b11dbeae54",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Karges, John P",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,"MALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,NA,"19 July 2008","Hwy 118 near McDonald Observatory, Mt Locke; 13R 0592404, 3392970","Western Spotted Skunk",2008,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"34",34,NA,"Texas","Howard",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13557","Mammalia",359,"2 mi S Big Spring, US 87, Texas, Howard, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.93,NA,NA,NA,"2008-07-29T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061288480,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061288480,"Animalia",1,NA,"2016-06-28T07:24:30.631+0000","2016-08-04T15:40:27.139+0000","2015-03-03T13:48:27.086+0000",32.20884,NA,NA,NA,NA,NA,NA,NA,"2 mi S Big Spring, US 87",NA,NA,NA,-101.47514,NA,NA,7,NA,"9804547f-f2bb-4f05-9e96-11e669566e05",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"muscle;liver;heart, kidney;liver;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Ferguson, Adam W",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,"MALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,"797 m","29 July 2008","2 mi S Big Spring on U.S. 87, N 32.20884°, W 101.47524°, 797 m elev.","Western Spotted Skunk",2008,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"35",35,NA,"Texas","Taylor",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13372","Mammalia",359,"4.3 mi N, 2.3 mi E Tuscola, Texas, Taylor, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-04-23T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061288320,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061288320,"Animalia",1,NA,"2016-06-28T07:24:30.540+0000","2016-08-04T15:40:27.226+0000","2015-03-03T13:48:26.676+0000",32.27184,NA,NA,NA,NA,NA,NA,NA,"4.3 mi N, 2.3 mi E Tuscola",NA,NA,NA,-99.75691,NA,NA,4,NA,"a1963b92-f24b-421f-a5f2-7a06f6d45c66",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"liver;muscle;liver;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Spencer, Jonathan",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,NA,"23 April 2007","4.3 mi. N, 2.3 mi E Tuscola","Western Spotted Skunk",2007,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"40",40,NA,"Texas","Brewster",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13300","Mammalia",359,"Terlingua Creek, Glasscock's Land, Texas, Brewster, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.14,NA,NA,NA,"2006-01-28T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061288264,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061288264,"Animalia",1,NA,"2016-06-28T07:24:30.539+0000","2016-08-04T15:40:25.981+0000","2015-03-03T13:48:26.544+0000",29.33123,NA,NA,NA,NA,NA,NA,NA,"Terlingua Creek, Glasscock's Land",NA,NA,NA,-103.56941,NA,NA,1,NA,"6cd6e56d-9228-4b69-9e72-c280d1fe6aeb",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"liver;kidney;heart;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Ferguson, Adam W",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,"MALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,"801 m","28 January 2006","Terlingua Creek, Glasscock's Land; 13R 0638900, 3245533 elev. 801m","Western Spotted Skunk",2006,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"42",42,"http://vertnet.org/resources/norms.html","Colorado","Montezuma County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13613","Mammalia",359,"Mesa Verde National Park, Chapin Mesa, Civilian Conservation Corps (CCC) Warehouse Area, Colorado, Montezuma County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",500,"United States","5f3463d2-51b6-4a8a-b252-9bab4388934e",NA,NA,21,NA,NA,NA,"reproductive data=testes: 21x16 mm ; verbatim preservation date=01 July 2013 ; sex=male ; total length=408 mm; tail length=141 mm; hind foot with claw=45 mm; ear from notch=29 mm; weight=345 g",NA,NA,NA,NA,NA,NA,NA,264,NA,"2006-09-21T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145098195,"Spilogale","Spilogale",2434820,"WGS84",NA,"Meghan L. Truckey","2013-06-27 00:00:00.0","GeoLocate",NA,"GeoLocate and https://www.loc.gov/resource/hhh.co0778.sheet/?sp=1","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, Colorado, Montezuma County, Mesa Verde National Park",NA,NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/DMNS:Mamm:13613?seid=1978511",1,NA,NA,"DMNS","urn:lsid:biocol.org:col:35013","US",1145098195,"Animalia",1,"en","2016-07-28T04:44:42.844+0000","2016-08-04T00:09:32.767+0000","2016-06-24T04:06:46.277+0000",37.19817,NA,NA,NA,NA,NA,NA,NA,"Mesa Verde National Park, Chapin Mesa, Civilian Conservation Corps (CCC) Warehouse Area","Meghan L. Truckey",NA,NA,-108.48967,NA,NA,9,"ICZN","http://arctos.database.museum/guid/DMNS:Mamm:13613?seid=1978511",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/DMNS:Mamm:13613","DZTM: Denver Zoology Tissue Mammal=2544; preparator number=AWF1080",NA,NA,"Chordata",44,"study skin; spleen (frozen); liver (frozen); heart, kidney (frozen); ectoparasite(s) (ethanol); muscle (frozen); skeleton; heart, kidney (frozen) sample; liver (frozen) sample","<i>Spilogale gracilis</i> (accepted ID) identified by unknown; method: legacy","DWC_ARCHIVE","US","a2ef6dd1-8886-48c9-8025-c62bac973cc7","Collector(s): E. Whitehead, Mesa Verde National Park; Preparator(s): Adam W. Ferguson",NA,"http://arctos.database.museum/guid/DMNS:Mamm:13613",NA,"http://creativecommons.org/licenses/by-nc/3.0",NA,"found dead in seed barrel","Spilogale gracilis Merriam, 1890",NA,"MALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,"PhysicalObject",NA,"decimal degrees",NA,"21 September 2006","Chapin Mesa, CCC Warehouse Area",NA,2006,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
"43",43,NA,"Texas","Crockett",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13556","Mammalia",359,"no specific locality, Texas, Crockett, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States","f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-12-01T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1061288533,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061288533,"Animalia",1,NA,"2016-06-28T07:24:30.632+0000","2016-08-04T15:40:26.352+0000","2015-03-03T13:48:27.200+0000",30.44056,NA,NA,NA,NA,NA,NA,NA,"no specific locality",NA,NA,NA,-101.18528,NA,NA,12,NA,"4a015b1d-6100-4522-b46b-8976909ae147",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"liver;kidney;heart;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Morris, M",NA,NA,NA,NA,NA,NA,"Spilogale gracilis Merriam, 1890",NA,"FEMALE","Spilogale gracilis",2434835,"gracilis",NA,NA,2434835,"SPECIES",NA,NA,NA,NA,NA,"December 2006","30° 13.806'N, 101° 9.127'W","Western Spotted Skunk",2006,"2016-08-10",136797,"Spilogale gracilis",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",204.386399666,385.906115721,TRUE
