"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","bed","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"23",23,NA,"Texas","Jack",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"14653","Mammalia",359,"no specific locality, Texas, Jack, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-03-29T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061289631,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289631,"Animalia",1,NA,"2016-06-28T07:24:31.061+0000","2016-08-04T15:40:27.788+0000","2015-03-03T13:48:29.584+0000",33.23368,NA,NA,NA,NA,NA,NA,NA,"no specific locality",NA,NA,NA,-98.17491,NA,NA,3,NA,NA,"5c088080-bdfa-4410-addf-773e4a8b5f91",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Texas Department of State Health Services",NA,NA,NA,NA,NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,NA,NA,"Spilogale putorius",2434831,"putorius",NA,NA,2434831,"SPECIES",NA,NA,NA,NA,NA,NA,"29 March 2011",NA,NA,"spotted skunk",NA,2011,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"24",24,NA,"Texas","Robertson",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"14878","Mammalia",359,"no specific locality, Texas, Robertson, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-03-15T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061289841,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061289841,"Animalia",1,NA,"2016-06-28T07:24:31.133+0000","2016-08-04T15:40:26.864+0000","2015-03-03T13:48:30.064+0000",31.03505,NA,NA,NA,NA,NA,NA,NA,"no specific locality",NA,NA,NA,-96.47856,NA,NA,3,NA,NA,"1ac421e4-5700-4a3f-b88f-cc6a540c3447",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Texas Department of State Health Services",NA,NA,NA,NA,NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,NA,NA,"Spilogale putorius",2434831,"putorius",NA,NA,2434831,"SPECIES",NA,NA,NA,NA,NA,NA,"15 March 2011",NA,NA,"spotted skunk",NA,2011,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"32",32,"http://vertnet.org/resources/norms.html","Kansas","Gray",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"39237","Mammalia",359,"0.8mi N, 3.3mi W Howell, on Us Hwy 50, Kansas, Gray, United States, NORTH_AMERICA","FHSM-M",NA,"NORTH_AMERICA",NA,"United States",NA,"84e6e5f8-f762-11e1-a439-00145eb45e9a","Fort Hays Sternberg Museum Mammalogy Collection",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,"NATIVE","2010-04-19T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,"2630",NA,NA,"United States",1078815467,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"Spilogale_2011_2012-7-19_13:39 | Spilogale_2011_2012-7-19_13:39 | Mephitidae | Spilogale","North America | USA | KANSAS | GRAY |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"ff890fb5-100b-11e3-9860-4cd443d04e13",NA,NA,NA,"FHSM","http://grbio.org/cool/5bc7-5n0c",NA,NA,"US",1078815467,"Animalia",1,"en","2015-05-12T17:06:11.341+0000","2016-08-04T07:44:24.388+0000","2015-05-12T17:06:11.370+0000",37.79496,NA,NA,NA,NA,NA,NA,NA,"0.8mi N, 3.3mi W Howell, on Us Hwy 50",NA,NA,NA,-100.23954,NA,"2015-04-12T00:00:00.000+0000",4,NA,"ICZN","ff890fb5-100b-11e3-9860-4cd443d04e13",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"SS - 1",NA,"DWC_ARCHIVE","US","976af1e0-ca25-11da-bfed-b8a03c50a862","M. Sexton",NA,"http://portal.vertnet.org/o/fhsm/fhsm-m?id=39237",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,NA,NA,"Spilogale putorius",2434831,"putorius",109,NA,2434831,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,"North America | USA | KANSAS | GRAY",NA,NA,NA,2010,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"39",39,"http://vertnet.org/resources/norms.html","Kansas","Linn",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"39054","Mammalia",359,".25 mi N, 2.25 mi E Cadmus, Kansas, Linn, United States, NORTH_AMERICA","FHSM-M",NA,"NORTH_AMERICA",NA,"United States",NA,"84e6e5f8-f762-11e1-a439-00145eb45e9a","Fort Hays Sternberg Museum Mammalogy Collection",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,"NATIVE","2010-12-01T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,"2546",NA,NA,"United States",1078814929,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"| CARNIVORA | MUSTELIDAE | SPILOGALE","North America | USA | KANSAS | LINN |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"fb1861f0-100b-11e3-9860-4cd443d04e13",NA,NA,NA,"FHSM","http://grbio.org/cool/5bc7-5n0c",NA,NA,"US",1078814929,"Animalia",1,"en","2015-05-12T17:05:54.070+0000","2016-08-04T07:44:25.028+0000","2015-05-12T17:05:54.074+0000",38.34835,NA,NA,NA,NA,NA,NA,NA,".25 mi N, 2.25 mi E Cadmus",NA,NA,NA,-94.85779,NA,"2015-04-12T00:00:00.000+0000",12,NA,"ICZN","fb1861f0-100b-11e3-9860-4cd443d04e13",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"SS - 1",NA,"DWC_ARCHIVE","US","976af1e0-ca25-11da-bfed-b8a03c50a862","Farris, Jim",NA,"http://portal.vertnet.org/o/fhsm/fhsm-m?id=39054",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,NA,NA,"Spilogale putorius",2434831,"putorius",335,NA,2434831,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,"North America | USA | KANSAS | LINN",NA,NA,NA,2010,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"52",52,NA,"Texas","Harris",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13555","Mammalia",359,"FM 2920, near Kermier Rd, Texas, Harris, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-16T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061288479,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061288479,"Animalia",1,NA,"2016-06-28T07:24:30.614+0000","2016-08-04T15:40:26.468+0000","2015-03-03T13:48:27.087+0000",30.06571,NA,NA,NA,NA,NA,NA,NA,"FM 2920, near Kermier Rd",NA,NA,NA,-95.85502,NA,NA,4,NA,NA,"9b8ec0d6-a25c-4ca9-b7ca-ee7db3d57f3f",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"heart;heart;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Collins, F",NA,NA,NA,NA,NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,"MALE",NA,"Spilogale putorius",2434831,"putorius",NA,NA,2434831,"SPECIES",NA,NA,NA,NA,NA,NA,"16 April 2008","FM 2920 near Kermier Rd., N 30° 3'56.7"", W 95° 51'18.7""",NA,"spotted skunk",NA,2008,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"55",55,NA,"Texas","Waller",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13554","Mammalia",359,"S Morton Rd, FM 2855, Texas, Waller, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-12-16T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061288532,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061288532,"Animalia",1,NA,"2016-06-28T07:24:30.608+0000","2016-08-04T15:40:26.489+0000","2015-03-03T13:48:27.200+0000",29.81095,NA,NA,NA,NA,NA,NA,NA,"S Morton Rd, FM 2855",NA,NA,NA,-95.88985,NA,NA,12,NA,NA,"d67d03e3-aa1a-4f04-95c9-40f346f76a9a",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"liver;liver;spleen;Spleen;spleen;spleen;heart;skin, skeleton",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Collins, F",NA,NA,NA,NA,NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,"MALE",NA,"Spilogale putorius",2434831,"putorius",NA,NA,2434831,"SPECIES",NA,NA,NA,NA,NA,NA,"16 December 2008","FM 2855 S of Morton Rd., N 29°, 48'39.42"", W 95°5 53'23.63""",NA,"spotted skunk",NA,2008,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"56",56,"http://vertnet.org/resources/norms.html","Kansas","Gray",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"37522","Mammalia",359,"ON HWY 50, BETWEEN PIERCEVILLE AND CHARLESTON, Kansas, Gray, United States, NORTH_AMERICA","FHSM-M",NA,"NORTH_AMERICA",NA,"United States",NA,"84e6e5f8-f762-11e1-a439-00145eb45e9a","Fort Hays Sternberg Museum Mammalogy Collection",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,"NATIVE","2007-04-11T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,"1175",NA,NA,"United States",215988786,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"| CARNIVORA | MUSTELIDAE | SPILOGALE","North America | USA | KANSAS | GRAY |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"ff7b6237-100b-11e3-9860-4cd443d04e13",NA,NA,NA,"FHSM","http://grbio.org/cool/5bc7-5n0c",NA,NA,"US",215988786,"Animalia",1,"en","2015-05-12T17:06:10.967+0000","2016-08-04T07:44:24.572+0000","2015-05-12T17:06:10.975+0000",37.87379,NA,NA,NA,NA,NA,NA,NA,"ON HWY 50, BETWEEN PIERCEVILLE AND CHARLESTON",NA,NA,NA,-100.62802,NA,"2015-04-12T00:00:00.000+0000",4,NA,"ICZN","ff7b6237-100b-11e3-9860-4cd443d04e13",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"SS - 1",NA,"DWC_ARCHIVE","US","976af1e0-ca25-11da-bfed-b8a03c50a862","Sexson, Mark",NA,"http://portal.vertnet.org/o/fhsm/fhsm-m?id=37522",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,NA,NA,"Spilogale putorius",2434831,"putorius",101,NA,2434831,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,"North America | USA | KANSAS | GRAY",NA,NA,NA,2007,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"69",69,"http://vertnet.org/resources/norms.html","Texas","Waller",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"59601","Mammalia",359,"FM 359, Texas, Waller, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"b6015b60-6f96-43a9-88e5-2f41854e8f07",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,"NATIVE","2005-03-18T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",675937758,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"Carnivora | Mephitidae | Spilogale","| USA | Texas | Waller |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:TCWC:Mammals:59601",NA,NA,"interrupta","TCWC","urn:lsid:biocol.org:col:34844",NA,NA,"US",675937758,"Animalia",1,"en","2015-09-05T08:13:39.534+0000","2016-08-04T12:52:17.719+0000","2015-09-05T08:13:39.567+0000",29.8333,NA,NA,NA,NA,NA,NA,NA,"FM 359",NA,NA,NA,-96.013,NA,"2015-09-04T00:00:00.000+0000",3,NA,"ICZN","urn:catalog:TCWC:Mammals:59601","42 m","present","Carnivora",732,NA,"ASK 7814",NA,"Chordata",44,"skin | skull",NA,"DWC_ARCHIVE","US","2b8e48b0-812d-11de-86fe-b8a03c50a862","Collins, F.; AWF","Ferguson, A.","http://portal.vertnet.org/o/tcwc/mammals?id=59601",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Spilogale putorius subsp. interrupta Rafinesque, 1820",NA,"MALE",NA,"Spilogale putorius",2434831,"putorius",77,NA,6164469,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"3/18/2005","USA | Texas | Waller | FM 359",NA,NA,NA,2005,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"72",72,NA,"Texas","Milam",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"13371","Mammalia",359,"3 mi E Gause, Texas, Milam, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005-04-17T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",1061288314,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061288314,"Animalia",1,NA,"2016-06-28T07:24:30.551+0000","2016-08-04T15:40:26.385+0000","2015-03-03T13:48:26.665+0000",30.83006,NA,NA,NA,NA,NA,NA,NA,"3 mi E Gause",NA,NA,NA,-96.68906,NA,NA,4,NA,NA,"3d3a20f1-0f74-407e-b6af-e489796f1ae1",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"liver;skin, skeleton",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Ebeling, Carla E",NA,NA,NA,NA,NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,"MALE",NA,"Spilogale putorius",2434831,"putorius",NA,NA,2434831,"SPECIES",NA,NA,NA,NA,NA,NA,"17 April 2005","3.0 mi E Gause, 14R 0721035, 3413054",NA,"spotted skunk",NA,2005,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"89",89,"http://vertnet.org/resources/norms.html","Kansas","Cherokee",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"37524","Mammalia",359,"3 MI S, 3 3/4 MI W OF WEST MINERAL, Kansas, Cherokee, United States, NORTH_AMERICA","FHSM-M",NA,"NORTH_AMERICA",NA,"United States",NA,"84e6e5f8-f762-11e1-a439-00145eb45e9a","Fort Hays Sternberg Museum Mammalogy Collection",NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,"NATIVE","2004-11-17T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",215988797,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"| CARNIVORA | MUSTELIDAE | SPILOGALE","North America | USA | Kansas | Cherokee |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"ff7d98e9-100b-11e3-9860-4cd443d04e13",NA,NA,NA,"FHSM","http://grbio.org/cool/5bc7-5n0c",NA,NA,"US",215988797,"Animalia",1,"en","2015-05-12T17:06:10.967+0000","2016-08-04T07:44:23.776+0000","2015-05-12T17:06:10.975+0000",37.23718,NA,NA,NA,NA,NA,NA,NA,"3 MI S, 3 3/4 MI W OF WEST MINERAL",NA,NA,NA,-94.99609,NA,"2015-04-12T00:00:00.000+0000",11,NA,"ICZN","ff7d98e9-100b-11e3-9860-4cd443d04e13",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"SN - 1",NA,"DWC_ARCHIVE","US","976af1e0-ca25-11da-bfed-b8a03c50a862","NILZ, S",NA,"http://portal.vertnet.org/o/fhsm/fhsm-m?id=37524",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,NA,NA,"Spilogale putorius",2434831,"putorius",322,NA,2434831,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,"North America | USA | KANSAS | CHEROKEE",NA,NA,NA,2004,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"170",170,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","Kansas","WILSON CO",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"156041","Mammalia",359,"TORONTO, 8 MI SE OF, Kansas, WILSON CO, United States, NORTH_AMERICA","KUM",NA,"NORTH_AMERICA",NA,"United States",NA,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","University of Kansas Biodiversity Institute Mammalogy Collection",NA,23,NA,NA,NA,"TotalLength: 472.0; TailLength: 185.0; HindFoot: 47.0; EarLength: 26.0; BodyMass: 512.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996-11-23T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",686483157,"Spilogale","Spilogale",2434820,"WGS84",NA,"Joshua Rosenau (KUNHM)","2003-07-04",NA,NA,"Topozone 1:25,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96ad9e75-1ed8-11e3-bfac-90b11c41863e",NA,NA,"interrupta","KU","http://grbio.org/cool/iakn-125z",NA,NA,"US",686483157,"Animalia",1,"en","2016-03-28T15:43:47.553+0000","2016-08-03T12:33:07.739+0000","2015-06-05T22:02:32.712+0000",37.7099991875762,NA,NA,NA,NA,NA,NA,NA,"TORONTO, 8 MI SE OF",NA,NA,NA,-95.840099942535,NA,NA,11,NA,NA,"96ad9e75-1ed8-11e3-bfac-90b11c41863e",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"SN",NA,"DWC_ARCHIVE","US","b554c320-0560-11d8-b851-b8a03c50a862","KDWP",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/deed.en_US",NA,NA,"Spilogale putorius subsp. interrupta Rafinesque, 1820",NA,NA,NA,"Spilogale putorius",2434831,"putorius",NA,NA,6164469,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,NA,NA,NA,NA,NA,1996,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
"186",186,"http://vertnet.org/resources/norms.html","Kansas","Anderson",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"37523","Mammalia",359,"1 1/2 MI N, 1 1/2 MI E OF WELDA, Kansas, Anderson, United States, NORTH_AMERICA","FHSM-M",NA,"NORTH_AMERICA",NA,"United States",NA,"84e6e5f8-f762-11e1-a439-00145eb45e9a","Fort Hays Sternberg Museum Mammalogy Collection",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"NATIVE","1994-04-03T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,NA,NA,"United States",215988764,"Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"| CARNIVORA | MUSTELIDAE | SPILOGALE","North America | USA | Kansas | Anderson |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"ff74f55d-100b-11e3-9860-4cd443d04e13",NA,NA,NA,"FHSM","http://grbio.org/cool/5bc7-5n0c",NA,NA,"US",215988764,"Animalia",1,"en","2015-05-12T17:06:10.714+0000","2016-08-04T07:44:25.021+0000","2015-05-12T17:06:10.724+0000",38.19109,NA,NA,NA,NA,NA,NA,NA,"1 1/2 MI N, 1 1/2 MI E OF WELDA",NA,NA,NA,-95.26696,NA,"2015-04-12T00:00:00.000+0000",4,NA,"ICZN","ff74f55d-100b-11e3-9860-4cd443d04e13",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"SN - 1",NA,"DWC_ARCHIVE","US","976af1e0-ca25-11da-bfed-b8a03c50a862","NELSON, DAVID",NA,"http://portal.vertnet.org/o/fhsm/fhsm-m?id=37523",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Spilogale putorius (Linnaeus, 1758)",NA,NA,NA,"Spilogale putorius",2434831,"putorius",93,NA,2434831,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,"North America | USA | KANSAS | ANDERSON",NA,NA,NA,1994,"2016-08-10",41636,"Spilogale putorius",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","VU",179.649879115,305.958152071,TRUE
