"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate"
"1",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2648508","Mammalia",359,"Costa Rica","Observations",NA,NA,NA,200,"Costa Rica",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-06T03:13:25.000+0000",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-31T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Costa Rica","1249286397","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2648508",NA,"4978698",NA,NA,NA,NA,"2648508",NA,NA,NA,"iNaturalist",NA,NA,"CR",1249286397,"Animalia",1,NA,"2016-08-10T00:29:10.036+0000","2016-08-10T00:43:10.883+0000","2016-08-10T00:29:10.062+0000",10.687,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-84.1809,NA,"2016-02-06T18:07:21.000+0000",1,NA,NA,"http://www.inaturalist.org/observations/2648508","White-nosed Coati working on bananas which were left there for toucans, etc.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Greg Lasley",NA,"http://www.inaturalist.org/observations/2648508","© Greg Lasley some rights reserved","Greg Lasley",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-31","Laguna de Largarto, Costa Rica",NA,NA,2016,2016-08-10
"2",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2578046","Mammalia",359,"Mexico","Observations",NA,NA,NA,1342,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-13T04:20:07.000+0000",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-12T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico","1229613853","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2578046",NA,"4800784",NA,NA,NA,NA,"2578046",NA,NA,NA,"iNaturalist",NA,NA,"MX",1229613853,"Animalia",1,NA,"2016-08-10T00:28:51.118+0000","2016-08-10T00:41:51.755+0000","2016-08-10T00:28:51.180+0000",20.90677,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-105.39459,NA,"2016-07-13T03:00:24.000+0000",1,NA,NA,"http://conabio.inaturalist.org/observations/2578046",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","José Alfredo Morales Ortiz",NA,"http://www.inaturalist.org/observations/2578046","© José Alfredo Morales Ortiz some rights reserved","José Alfredo Morales Ortiz",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-12",NA,NA,NA,2016,2016-08-10
"3",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2628515","Mammalia",359,"Mexico","Observations",NA,NA,NA,3192,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-19T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico","1249279058","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2628515",NA,NA,NA,NA,NA,NA,"2628515",NA,NA,NA,"iNaturalist",NA,NA,"MX",1249279058,"Animalia",1,NA,"2016-08-10T00:29:04.225+0000","2016-08-10T00:42:43.500+0000","2016-08-10T00:29:04.417+0000",18.11094,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-89.80843,NA,"2016-02-05T16:30:33.000+0000",1,NA,NA,"http://conabio.inaturalist.org/observations/2628515","andaba un grupo como de veinte buscandom insectos entre la oja seca",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","angelzurita",NA,"http://www.inaturalist.org/observations/2628515","© angelzurita some rights reserved","angelzurita",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-19","calakmul",NA,NA,2016,2016-08-10
"4",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2576000","Mammalia",359,"Mexico","Observations",NA,NA,NA,NA,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-04T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico","1229613616","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2576000",NA,NA,NA,NA,NA,NA,"2576000",NA,NA,NA,"iNaturalist",NA,NA,"MX",1229613616,"Animalia",1,NA,"2016-08-10T00:28:50.555+0000","2016-08-10T00:41:50.978+0000","2016-08-10T00:28:50.832+0000",18.02836,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-89.64294,NA,"2016-01-14T04:56:48.000+0000",1,NA,NA,"http://conabio.inaturalist.org/observations/2576000","Estaba en un grupo de al menos 8 integrantes. En los árboles y en el piso a las 12 del día buscando de comer.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Eloy Bicondoa",NA,"http://www.inaturalist.org/observations/2576000","© Eloy Bicondoa some rights reserved","Eloy Bicondoa",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-04","En el sitio arqueológico",NA,NA,2016,2016-08-10
"5",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2645684","Mammalia",359,"Mexico","Observations",NA,NA,NA,62,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-05T01:52:10.000+0000",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-23T12:37:58.000+0000",NA,NA,"18:37:58Z","Procyonidae",5311,NA,NA,"Mexico","1249285421","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2645684",NA,"4970758",NA,NA,NA,NA,"2645684",NA,NA,NA,"iNaturalist",NA,NA,"MX",1249285421,"Animalia",1,NA,"2016-08-10T00:29:08.873+0000","2016-08-10T00:43:06.989+0000","2016-08-10T00:29:08.891+0000",19.49895,NA,NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",NA,NA,NA,NA,NA,-105.04435,NA,"2016-02-23T23:15:16.000+0000",1,NA,NA,"http://conabio.inaturalist.org/observations/2645684",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jose Antonio Aranda",NA,"http://www.inaturalist.org/observations/2645684","© Jose Antonio Aranda some rights reserved","Jose Antonio Aranda",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-23 12:37:58","Estación biológica de Chamela, Jalisco México",NA,NA,2016,2016-08-10
"6",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2613156","Mammalia",359,"Guatemala","Observations",NA,NA,NA,63,"Guatemala",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-24T19:22:43.000+0000",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-10T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Guatemala","1233598735","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2613156",NA,"4888291",NA,NA,NA,NA,"2613156",NA,NA,"yucatanica","iNaturalist",NA,NA,"GT",1233598735,"Animalia",1,NA,"2016-08-10T00:28:59.483+0000","2016-08-10T00:42:25.584+0000","2016-08-10T00:28:59.512+0000",17.22441,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-89.61446,NA,"2016-03-19T22:42:50.000+0000",1,NA,NA,"http://www.inaturalist.org/observations/2613156",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Corey Lange",NA,"http://www.inaturalist.org/observations/2613156","© Corey Lange some rights reserved","Corey Lange",NA,"Nasua narica subsp. yucatanica J. A. Allen, 1904",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"197962",6164388,NA,"SUBSPECIES",NA,NA,NA,NA,NA,NA,"2016-01-10","Tikal",NA,NA,2016,2016-08-10
"7",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2643920","Mammalia",359,"Costa Rica","Observations",NA,NA,NA,200,"Costa Rica",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-04T10:46:41.000+0000",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-29T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Costa Rica","1249284698","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2643920",NA,"4966213",NA,NA,NA,NA,"2643920",NA,NA,NA,"iNaturalist",NA,NA,"CR",1249284698,"Animalia",1,NA,"2016-08-10T00:29:08.274+0000","2016-08-10T00:43:04.885+0000","2016-08-10T00:29:08.328+0000",10.6875,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-84.1809,NA,"2016-02-06T05:04:04.000+0000",1,NA,NA,"http://www.inaturalist.org/observations/2643920","White-nosed Coatis would come in to the lodge area to take the bananas that were offered for the birds. Never to be denied, the coatis could be relentless.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Greg Lasley",NA,"http://www.inaturalist.org/observations/2643920","© Greg Lasley some rights reserved","Greg Lasley",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-29","Laguna de Largarto, Costa Rica",NA,NA,2016,2016-08-10
"8",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2621470","Mammalia",359,"Mexico","Observations",NA,NA,NA,NA,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-27T05:39:29.000+0000",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-25T06:35:55.000+0000",NA,NA,"16:35:55Z","Procyonidae",5311,NA,NA,"Mexico","1291069068","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2621470",NA,"4908044",NA,NA,NA,NA,"2621470",NA,NA,NA,"iNaturalist",NA,NA,"MX",1291069068,"Animalia",1,NA,"2016-08-10T00:29:02.488+0000","2016-08-10T00:42:34.354+0000","2016-08-10T00:29:02.501+0000",23.299,NA,NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",NA,NA,NA,NA,NA,-106.44343,NA,"2016-07-13T20:22:24.000+0000",1,NA,NA,"http://conabio.inaturalist.org/observations/2621470",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Francisco Farriols Sarabia",NA,"http://www.inaturalist.org/observations/2621470","© Francisco Farriols Sarabia some rights reserved","Francisco Farriols Sarabia",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-25 06:35:55","Mazatlán, MX-SIN, MX",NA,NA,2016,2016-08-10
"9",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"3174127","Mammalia",359,"Mexico","Observations",NA,NA,NA,30,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-05-14T20:07:54.000+0000",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-22T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico","1269558474","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/3174127",NA,"6126871",NA,NA,NA,NA,"3174127",NA,NA,"yucatanica","iNaturalist",NA,NA,"MX",1269558474,"Animalia",1,NA,"2016-06-21T11:07:31.235+0000","2016-08-03T23:09:56.482+0000","2016-06-21T11:07:37.949+0000",21.27652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.64424,NA,"2016-05-14T22:32:21.000+0000",1,NA,NA,"http://conabio.inaturalist.org/observations/3174127",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Aldo Ivan Echeverria Caro",NA,"http://www.inaturalist.org/observations/3174127","© Aldo Ivan Echeverria Caroall rights reserved","Aldo Ivan Echeverria Caro",NA,"Nasua narica subsp. yucatanica J. A. Allen, 1904",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"197962",6164388,NA,"SUBSPECIES",NA,NA,NA,NA,NA,NA,"2016-01-22","Progreso, MX-YU, MX",NA,NA,2016,2016-08-10
"10",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2549694","Mammalia",359,"United States","Observations",NA,NA,NA,5,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-03T21:57:19.000+0000",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-03T09:09:24.000+0000",NA,NA,"16:09:24Z","Procyonidae",5311,NA,NA,"United States","1227769869","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2549694",NA,"4736195",NA,NA,NA,NA,"2549694",NA,NA,NA,"iNaturalist",NA,NA,"US",1227769869,"Animalia",1,NA,"2016-08-10T00:28:43.914+0000","2016-08-10T00:41:28.121+0000","2016-08-10T00:28:44.051+0000",31.91722,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-110.04243,NA,"2016-01-04T17:04:14.000+0000",1,NA,NA,"http://www.inaturalist.org/observations/2549694",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","ghostcat",NA,"http://www.inaturalist.org/observations/2549694","© ghostcat some rights reserved","ghostcat",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Sun Jan 03 2016 09:09:24 GMT-0700 (MST)","Coronado National Forest, Saint David, AZ, US",NA,NA,2016,2016-08-10
"11",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2665794","Mammalia",359,"Mexico","Observations",NA,NA,NA,NA,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-10T22:33:56.000+0000",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-10T16:24:12.000+0000",NA,NA,"10:24:12Z","Procyonidae",5311,NA,NA,"Mexico","1249291702","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2665794",NA,"5013990",NA,NA,NA,NA,"2665794",NA,NA,NA,"iNaturalist",NA,NA,"MX",1249291702,"Animalia",1,NA,"2016-08-10T00:29:15.845+0000","2016-08-10T00:43:31.143+0000","2016-08-10T00:29:15.927+0000",25.5427,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-100.27154,NA,"2016-02-11T04:21:42.000+0000",2,NA,NA,"http://conabio.inaturalist.org/observations/2665794","Son muy comunes en todo el parque!!!",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Carlos Velazco",NA,"http://www.inaturalist.org/observations/2665794","© Carlos Velazco some rights reserved","Carlos Velazco",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-02-10 4:24:12 p.m. GMT-06:00",NA,NA,NA,2016,2016-08-10
"12",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2650962","Mammalia",359,"Costa Rica","Observations",NA,NA,NA,100,"Costa Rica",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-06T23:36:51.000+0000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-01T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Costa Rica","1249287166","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2650962",NA,"4983412",NA,NA,NA,NA,"2650962",NA,NA,NA,"iNaturalist",NA,NA,"CR",1249287166,"Animalia",1,NA,"2016-08-10T00:29:10.770+0000","2016-08-10T00:43:15.288+0000","2016-08-10T00:29:11.128+0000",10.687,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-84.18,NA,"2016-02-11T04:27:31.000+0000",2,NA,NA,"http://www.inaturalist.org/observations/2650962",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Greg Lasley",NA,"http://www.inaturalist.org/observations/2650962","© Greg Lasley some rights reserved","Greg Lasley",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-02-01","Laguna de Largarto, Costa Rica",NA,NA,2016,2016-08-10
"13",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2768975","Mammalia",359,"Mexico","Observations",NA,NA,NA,NA,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-03-11T19:02:12.000+0000",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-06T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico","1262371184","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2768975",NA,"5382730",NA,NA,NA,NA,"2768975",NA,NA,NA,"iNaturalist",NA,NA,"MX",1262371184,"Animalia",1,NA,"2016-08-10T00:29:47.421+0000","2016-08-10T00:45:16.055+0000","2016-08-10T00:29:47.492+0000",20.31892,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-87.35453,NA,"2016-03-12T22:23:24.000+0000",2,NA,NA,"http://conabio.inaturalist.org/observations/2768975",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Daniel Dorantes",NA,"http://www.inaturalist.org/observations/2768975","© Daniel Dorantes some rights reserved","Daniel Dorantes",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-02-06","xel ha",NA,NA,2016,2016-08-10
"14",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"3805149","Mammalia",359,"Costa Rica","Observations",NA,NA,NA,NA,"Costa Rica",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-08-05T00:50:39.000+0000",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-02T12:59:22.000+0000",NA,NA,"17:59:22Z","Procyonidae",5311,NA,NA,"Costa Rica","1291165191","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://inaturalist.ca/observations/3805149",NA,"7332425",NA,NA,NA,NA,"3805149",NA,NA,NA,"iNaturalist",NA,NA,"CR",1291165191,"Animalia",1,NA,"2016-08-10T00:34:53.854+0000","2016-08-10T00:57:30.247+0000","2016-08-10T00:34:53.960+0000",10.30238,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-85.19762,NA,"2016-08-05T04:56:33.000+0000",2,NA,NA,"http://inaturalist.ca/observations/3805149",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","lenoreatwood",NA,"http://www.inaturalist.org/observations/3805149","© lenoreatwood some rights reserved","lenoreatwood",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"Tue Feb 02 2016 12:59:22 GMT-0500 (EST)","Cañas, Cañas, Guanacaste, CR",NA,NA,2016,2016-08-10
"15",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2718950","Mammalia",359,"Mexico","Observations",NA,NA,NA,30772,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-26T21:04:30.000+0000",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-09T14:23:17.000+0000",NA,NA,"20:23:17Z","Procyonidae",5311,NA,NA,"Mexico","1253310173","Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2718950",NA,"5269567",NA,NA,NA,NA,"2718950",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,"MX",1253310173,"Animalia",1,NA,"2016-08-10T00:29:31.981+0000","2016-08-10T00:44:26.559+0000","2016-08-10T00:29:31.995+0000",16.81515,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-93.04393,NA,"2016-02-27T05:34:21.000+0000",2,NA,NA,"http://conabio.inaturalist.org/observations/2718950",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","belenjd",NA,"http://www.inaturalist.org/observations/2718950","© belenjd some rights reserved","belenjd",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,"41673",2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-02-09 14:23:17","Chiapas, MX",NA,NA,2016,2016-08-10
