"","X","accessRights","adm1","adm2","associatedSequences","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"178",178,"http://www.vertnet.org/resources/norms.html","New Mexico","Grant County",NA,"PRESERVED_SPECIMEN",NA,NA,"268390","Mammalia",359,"Highway 180, Mangas Springs, New Mexico, Grant County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2013-02-11T00:00:00.000+0000",11,NA,NA,NA,"tail length=624 mm; hind foot with claw=112 mm; ear from notch=37 mm; reproductive data=T=20x15 ; examined for parasites=no ; sex=male ; total length=1185 mm",NA,NA,NA,NA,NA,NA,42,NA,"2013-02-11T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1145295679,"Nasua","Nasua",2433530,"WGS84",NA,"Stephen O. MacDonald","2013-02-11 00:00:00.0","BioGeoMancer",NA,"Google Earth","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Procyonidae;","North America, United States, New Mexico, Grant County",NA,NA,NA,NA,"A",NA,"student","Stephen O. MacDonald","http://arctos.database.museum/guid/MSB:Mamm:268390?seid=2087763",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,"US",1145295679,"Animalia",1,"en","2016-07-28T04:56:02.742+0000","2016-08-04T12:18:29.879+0000","2016-06-24T04:34:12.428+0000",32.84167,NA,NA,NA,NA,NA,NA,"Highway 180, Mangas Springs","Stephen O. MacDonald",NA,NA,-108.51,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:268390?seid=2087763",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:268390",NA,"NK=224840",NA,"Chordata",44,"skull; heart (frozen); muscle (frozen); liver (frozen)","<i>Nasua narica</i> (accepted ID) identified by Stephen O. MacDonald on 2013-02-11; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Stephen O. MacDonald",NA,"http://arctos.database.museum/guid/MSB:Mamm:268390","http://arctosdb.org/home/data/",NA,"road kill","Nasua narica (Linnaeus, 1766)",NA,"MALE",NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,"PhysicalObject",NA,NA,"deg. min. sec.",NA,"11 Feb. 2013","USA/NM, Grant County, HWY 180, Mangas Springs",NA,NA,2013,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"291",291,NA,"Chiapas","TUXTLA GUTIERREZ",NA,"LITERATURE",NA,NA,"NA / 1959 / BK003","Mammalia",359,"Mirador La Atalaya. Parque Nacional Cañón del Sumidero, Chiapas, TUXTLA GUTIERREZ, Mexico",NA,NA,NA,NA,NA,"Mexico",NA,"80425e9c-f762-11e1-a439-00145eb45e9a",NA,"2005-04-13T00:00:00.000+0000",13,NA,NA,NA,NA,NA,NA,NA,NA,1258,NA,NA,NA,"2005-04-13T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",370711713,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Riechers-Pérez, A.",NA,NA,NA,NA,"IHNE",NA,NA,"MX",370711713,"Animalia",1,NA,"2016-01-28T17:54:35.141+0000","2016-08-04T03:38:02.396+0000","2014-10-09T14:23:14.735+0000",16.828,NA,NA,NA,NA,NA,NA,"Mirador La Atalaya. Parque Nacional Cañón del Sumidero",NA,NA,NA,-93.095,NA,NA,4,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","Riechers-Pérez, A.",NA,NA,NA,NA,NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"305",305,"http://vertnet.org/resources/norms.html","Quetzaltenango","San Martín Sacatepéquez",NA,"PRESERVED_SPECIMEN",NA,NA,"3277","Mammalia",359,"Quetzaltenango, Parque Regional Municipal; Aldea Santa Inés, Quetzaltenango, San Martín Sacatepéquez, Guatemala, NORTH_AMERICA","Mamíferos",NA,"NORTH_AMERICA",NA,NA,"Guatemala",NA,"fee15ebc-27ce-4aff-b912-2657bbd493d2",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,"NATIVE","2004-08-21T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Guatemala",859266090,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification","bosque nuboso","Mammalia | Carnivora | Procyonidae","| GUATEMALA | Quetzaltenango | San Martín Sacatepequez |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"José Luis Echeverría","urn:catalog:USAC:Mamíferos:3277",NA,NA,NA,"USAC",NA,NA,"GT",859266090,"Animalia",1,"es","2015-06-10T15:51:24.568+0000","2016-08-04T15:52:56.583+0000","2015-04-09T14:39:33.071+0000",14.8014,NA,NA,NA,NA,NA,NA,"Quetzaltenango, Parque Regional Municipal; Aldea Santa Inés",NA,NA,NA,-91.6,NA,"2015-04-09T00:00:00.000+0000",8,NA,"ICZN","urn:catalog:USAC:Mamíferos:3277","Solo estan las patas, especimen cazado por Carlos Pérez a 10 minutos de la aldea, camino a lñaguna Chicabal.","present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"fluid",NA,"DWC_ARCHIVE","GT","8448511a-21b7-4e21-b1b2-1f208501c25b","José Luis Echeverría","29","http://portal.vertnet.org/o/usac/mamíferos?id=3277","http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",234,NA,2433531,NA,"SPECIES",NA,"PhysicalObject",NA,NA,NA,"2600","21/August/2004","GUATEMALA | Quetzaltenango | San Martín Sacatepequez | Quetzaltenango, Parque Regional Municipal; Aldea Santa Inés",NA,"coatí",2004,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"307",307,NA,"Puebla","SAN JOSE MIAHUATLAN",NA,"LITERATURE",NA,NA,"NA / 832 / BK022","Mammalia",359,"1.3 km SW Guadalupe Victoria, Puebla, SAN JOSE MIAHUATLAN, Mexico",NA,NA,NA,NA,NA,"Mexico",NA,"7fd54c8a-f762-11e1-a439-00145eb45e9a",NA,"2004-10-01T00:00:00.000+0000",1,NA,NA,NA,NA,NA,NA,NA,NA,900,NA,NA,NA,"2004-10-01T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",370753008,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Martínez V.",NA,NA,NA,"narica","BUAP",NA,NA,"MX",370753008,"Animalia",1,NA,"2016-01-28T18:08:29.937+0000","2016-08-04T03:35:35.733+0000","2014-10-09T12:26:37.533+0000",18.205,NA,NA,NA,NA,NA,NA,"1.3 km SW Guadalupe Victoria",NA,NA,NA,-97.172,NA,NA,10,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","J. Martínez V.",NA,NA,NA,NA,NA,"Nasua narica subsp. narica",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,7193889,NA,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"308",308,NA,"Chiapas","TRINITARIA, LA",NA,"LITERATURE",NA,NA,"NA / 4947 / BK047","Mammalia",359,"México: Chiapas: Mpio. La Trinitaria: Parque Nacional Lagunas de Montebello, Panteón, Chiapas, TRINITARIA, LA, Mexico",NA,NA,NA,NA,NA,"Mexico",NA,"8088b072-f762-11e1-a439-00145eb45e9a",NA,"2004-11-01T00:00:00.000+0000",1,NA,NA,NA,NA,NA,NA,NA,NA,1512,NA,NA,NA,"2004-11-01T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",371221140,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rojas, J.",NA,NA,NA,NA,"ECOSUR-SC",NA,NA,"MX",371221140,"Animalia",1,NA,"2016-01-28T18:42:56.938+0000","2016-08-04T03:40:40.197+0000","2014-10-09T13:20:48.865+0000",16.105,NA,NA,NA,NA,NA,NA,"México: Chiapas: Mpio. La Trinitaria: Parque Nacional Lagunas de Montebello, Panteón",NA,NA,NA,-91.734,NA,NA,11,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","Rojas, J.",NA,NA,NA,NA,NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"311",311,NA,"Colima","Manzanillo",NA,"PRESERVED_SPECIMEN",NA,NA,"53768","Mammalia",359,"Playa de Oro, Colima, Manzanillo, Mexico, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,351,"Mexico",NA,"84aefc7e-f762-11e1-a439-00145eb45e9a",NA,NA,8,NA,NA,"In collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2003-01-08T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",894724528,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,"GEOLocate [www.museum.tulane.edu/geolocate/]",NA,NA,"Verified by data custodian","top of hill above small bat cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:OMNH:Mammals:53768",NA,NA,NA,"OMNH",NA,NA,"MX",894724528,"Animalia",1,"English","2016-08-09T08:14:48.769+0000","2016-08-09T08:22:42.997+0000","2016-08-09T08:14:48.860+0000",19.1331,NA,NA,NA,NA,NA,NA,"Playa de Oro",NA,NA,NA,-104.51541,NA,"2016-05-12T00:00:00.000+0000",1,NA,NA,"urn:catalog:OMNH:Mammals:53768",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","609765e0-4ce8-11db-b80e-b8a03c50a862","Kennedy, M. L.",NA,NA,NA,"Sam Noble Oklahoma Museum of Natural History",NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"White-nosed Coati",2003,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"313",313,NA,"Chiapas","HUIXTLA",NA,"LITERATURE",NA,NA,"NA / 19835 / y021","Mammalia",359,"Ejido Santa Rita Coronado, Chiapas, HUIXTLA, Mexico","No Aplica",NA,NA,NA,NA,"Mexico",NA,"802f2cdc-f762-11e1-a439-00145eb45e9a",NA,"2003-06-12T00:00:00.000+0000",12,NA,NA,NA,NA,NA,NA,NA,NA,1390,NA,NA,NA,"2003-06-12T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",371074575,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. Vázquez B.",NA,NA,NA,NA,"ND",NA,NA,"MX",371074575,"Animalia",1,NA,"2016-01-29T09:35:35.758+0000","2016-08-04T03:37:49.200+0000","2014-10-09T16:40:40.737+0000",15.216,NA,NA,NA,NA,NA,NA,"Ejido Santa Rita Coronado",NA,NA,NA,-92.472,NA,NA,6,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","D. Vázquez B.",NA,NA,NA,NA,NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"317",317,NA,NA,NA,NA,"LITERATURE",NA,NA,"Observ.327","Mammalia",359,"1500 m. S ejido Loma Bonita, Mexico","ECO-SC-M",NA,NA,NA,NA,"Mexico",NA,"7fd7b40c-f762-11e1-a439-00145eb45e9a",NA,"2002-05-30T00:00:00.000+0000",30,NA,NA,NA,NA,NA,NA,NA,NA,500,0,NA,NA,"2002-05-30T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",370760807,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FBT & ENP & JBC & LEC",NA,NA,NA,NA,"ECOSUR-SC",NA,NA,"MX",370760807,"Animalia",1,NA,"2016-01-28T15:57:52.736+0000","2016-08-04T03:35:36.550+0000","2014-10-09T15:25:29.286+0000",16.184,NA,NA,NA,NA,NA,NA,"1500 m. S ejido Loma Bonita",NA,NA,NA,-91.311,NA,NA,5,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","FBT & ENP & JBC & LEC",NA,NA,NA,NA,NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"324",324,NA,"Yucatan","CELESTUN",NA,"LITERATURE",NA,NA,"NA / 3834 / Y013","Mammalia",359,"4.9 km N, 2.2 km E Celestúm, Yucatan, CELESTUN, Mexico","No Aplica",NA,NA,NA,NA,"Mexico",NA,"7ff8361e-f762-11e1-a439-00145eb45e9a",NA,"2002-07-19T00:00:00.000+0000",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-07-19T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",370458313,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N. González-Ruíz",NA,NA,NA,"yucatanica","ND",NA,NA,"MX",370458313,"Animalia",1,NA,"2016-01-28T18:57:24.878+0000","2016-08-04T03:37:23.622+0000","2014-10-09T07:47:54.619+0000",20.908,NA,NA,NA,NA,NA,NA,"4.9 km N, 2.2 km E Celestúm",NA,NA,NA,-90.378,NA,NA,7,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","N. González-Ruíz",NA,NA,NA,NA,NA,"Nasua narica subsp. yucatanica J. A. Allen, 1904",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,6164388,NA,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"325",325,NA,"Yucatan","TIZIMIN",NA,"LITERATURE",NA,NA,"NA / 3836 / Y013","Mammalia",359,"0.7 km S, 0.2 km W Kikil, Yucatan, TIZIMIN, Mexico","No Aplica",NA,NA,NA,NA,"Mexico",NA,"7ff8361e-f762-11e1-a439-00145eb45e9a",NA,"2002-07-19T00:00:00.000+0000",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-07-19T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",370458384,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N. González-Ruíz",NA,NA,NA,"yucatanica","ND",NA,NA,"MX",370458384,"Animalia",1,NA,"2016-01-28T18:57:24.879+0000","2016-08-04T03:37:24.091+0000","2014-10-09T07:47:54.593+0000",21.183,NA,NA,NA,NA,NA,NA,"0.7 km S, 0.2 km W Kikil",NA,NA,NA,-88.169,NA,NA,7,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","N. González-Ruíz",NA,NA,NA,NA,NA,"Nasua narica subsp. yucatanica J. A. Allen, 1904",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,6164388,NA,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"330",330,"http://www.vertnet.org/resources/norms.html","New Mexico","Grant County",NA,"PRESERVED_SPECIMEN",NA,NA,"140072","Mammalia",359,"Big Burro Mtn, Gila NF 2.4 mi W and 0.1 S White Si, New Mexico, Grant County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,5145,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2005-03-10T00:00:00.000+0000",21,NA,NA,NA,"sex=female",NA,NA,NA,NA,1918.72,0,202,NA,"2001-07-21T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1145166362,"Nasua","Nasua",2433530,"WGS84",NA,"Jason L. Malaney","13-04-10 00:00:00.0","BioGeoMancer",NA,"Beogeomancer","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Procyonidae;","North America, United States, New Mexico, Grant County",NA,NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/MSB:Mamm:140072?seid=63581",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,"US",1145166362,"Animalia",1,"en","2016-07-28T04:55:30.031+0000","2016-08-04T12:18:29.318+0000","2016-06-24T04:32:56.940+0000",32.55446,NA,NA,NA,NA,NA,NA,"Big Burro Mtn, Gila NF 2.4 mi W and 0.1 S White Si","Jason L. Malaney",NA,"Verbatim Coordinates: 32D33.277'N108D24.390'W",-108.40729,NA,NA,7,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:140072?seid=63581","heart kidney liver spleen muscle lung Acc.#2001-845",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:140072",NA,"NK=103303; original identifier=ET; preparator number=2787",NA,"Chordata",44,"skin; skull; postcranial skeleton; lung (frozen); heart, kidney (frozen); heart, kidney (frozen) sample","<i>Nasua narica</i> (accepted ID) identified by unknown on 2005-03-10; method: legacy","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Carnivore Initiative Project; Preparator(s): Paul J. Polechla Jr.",NA,"http://arctos.database.museum/guid/MSB:Mamm:140072","http://arctosdb.org/home/data/",NA,NA,"Nasua narica (Linnaeus, 1766)",NA,"FEMALE",NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"21-Jul-2001","Big Burro Mtn, Gila NF 2.4 mi W and 0.1 S White Si",NA,NA,2001,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"331",331,NA,"Chiapas","SILTEPEC",NA,"LITERATURE",NA,NA,"NA / 13387 / y021","Mammalia",359,"Ejido Pablo Galeana, Barrio Nueva Argentina, Chiapas, SILTEPEC, Mexico","No Aplica",NA,NA,NA,NA,"Mexico",NA,"802f2cdc-f762-11e1-a439-00145eb45e9a",NA,"2001-11-13T00:00:00.000+0000",13,NA,NA,NA,NA,NA,NA,NA,NA,1600,NA,NA,NA,"2001-11-13T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",371067290,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. Vázquez B.",NA,NA,NA,NA,"ND",NA,NA,"MX",371067290,"Animalia",1,NA,"2016-01-29T09:35:35.756+0000","2016-08-04T03:37:50.483+0000","2014-10-09T16:40:40.833+0000",15.506,NA,NA,NA,NA,NA,NA,"Ejido Pablo Galeana, Barrio Nueva Argentina",NA,NA,NA,-92.522,NA,NA,11,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
"344",344,NA,"San Luis Potosi","TAMASOPO",NA,"LITERATURE",NA,NA,"not recorded / 1642 / L176","Mammalia",359,"SAN NICOLAS DE LOS MONTES, San Luis Potosi, TAMASOPO, Mexico","ND",NA,NA,NA,NA,"Mexico",NA,"7fabfa2e-f762-11e1-a439-00145eb45e9a",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000-04-11T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",371190289,"Nasua","Nasua",2433530,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROJAS-SOTO OCTAVIO R.",NA,NA,NA,NA,"ND",NA,NA,"MX",371190289,"Animalia",1,NA,"2016-01-28T18:09:50.321+0000","2016-08-04T03:31:46.232+0000","2014-10-09T16:57:02.637+0000",22.126,NA,NA,NA,NA,NA,NA,"SAN NICOLAS DE LOS MONTES",NA,NA,NA,-99.428,NA,NA,4,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","ROJAS-SOTO OCTAVIO R.",NA,NA,NA,NA,NA,"Nasua narica (Linnaeus, 1766)",NA,NA,NA,"Nasua narica",2433531,"narica",NA,NA,2433531,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,"2016-08-10",41683,"Nasua narica",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",277.865298519,235.977334215,TRUE
